"Table 3: Life expectancy and healthy life expectancy in NHS health boards, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Health board,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S08000022,Highland,female,30 to 34,53.05,52.75,53.35,38.24,36.90,39.58,72.08,,
S08000022,Highland,female,35 to 39,48.19,47.90,48.48,34.15,32.95,35.34,70.86,,
S08000022,Highland,female,40 to 44,43.40,43.12,43.67,30.15,29.04,31.27,69.49,,
S08000022,Highland,female,45 to 49,38.65,38.38,38.92,26.23,25.20,27.27,67.88,,
S08000022,Highland,female,50 to 54,33.92,33.66,34.18,22.42,21.44,23.41,66.10,,
S08000022,Highland,female,55 to 59,29.38,29.13,29.63,18.83,17.90,19.77,64.09,,
S08000022,Highland,female,60 to 64,24.99,24.75,25.22,15.47,14.57,16.37,61.91,,
S08000022,Highland,female,65 to 69,20.73,20.51,20.96,12.24,11.37,13.11,59.03,,
S08000022,Highland,female,70 to 74,16.59,16.38,16.81,9.24,8.37,10.10,55.67,,
S08000022,Highland,female,75 to 79,12.77,12.57,12.97,6.61,5.74,7.49,51.77,,
S08000022,Highland,female,80 to 84,9.41,9.21,9.60,4.48,3.66,5.30,47.60,,
S08000022,Highland,female,85 to 89,6.57,6.38,6.76,2.87,2.19,3.55,43.70,,
S08000022,Highland,female,90+,4.40,4.17,4.64,1.78,1.16,2.41,40.46,,
S08000023,Lanarkshire,male,less than 1,76.03,75.76,76.30,59.33,58.05,60.61,78.04,,
S08000023,Lanarkshire,male,1 to 4,75.25,74.99,75.51,58.59,57.31,59.87,77.86,,
S08000023,Lanarkshire,male,5 to 9,71.32,71.06,71.57,54.97,53.70,56.23,77.07,,
S08000023,Lanarkshire,male,10 to 14,66.33,66.07,66.58,50.38,49.14,51.61,75.95,,
S08000023,Lanarkshire,male,15 to 19,61.36,61.11,61.62,45.81,44.61,47.02,74.66,,
S08000023,Lanarkshire,male,20 to 24,56.50,56.25,56.75,41.36,40.18,42.53,73.20,,
S08000023,Lanarkshire,male,25 to 29,51.67,51.42,51.91,36.98,35.83,38.12,71.56,,
S08000023,Lanarkshire,male,30 to 34,46.96,46.73,47.20,32.75,31.65,33.86,69.74,,
S08000023,Lanarkshire,male,35 to 39,42.36,42.13,42.58,28.69,27.62,29.77,67.74,,
S08000023,Lanarkshire,male,40 to 44,37.73,37.51,37.95,24.73,23.68,25.77,65.54,,
S08000023,Lanarkshire,male,45 to 49,33.29,33.09,33.50,21.00,19.98,22.02,63.08,,
S08000023,Lanarkshire,male,50 to 54,28.92,28.72,29.12,17.45,16.46,18.45,60.35,,
S08000023,Lanarkshire,male,55 to 59,24.62,24.43,24.81,14.13,13.17,15.10,57.40,,
S08000023,Lanarkshire,male,60 to 64,20.50,20.32,20.69,11.13,10.18,12.07,54.27,,
S08000023,Lanarkshire,male,65 to 69,16.69,16.52,16.86,8.53,7.60,9.46,51.10,,
S08000023,Lanarkshire,male,70 to 74,13.24,13.07,13.40,6.30,5.35,7.24,47.57,,
S08000023,Lanarkshire,male,75 to 79,10.13,9.97,10.29,4.42,3.44,5.41,43.68,,
S08000023,Lanarkshire,male,80 to 84,7.48,7.32,7.64,2.95,1.94,3.96,39.45,,
S08000023,Lanarkshire,male,85 to 89,5.43,5.25,5.61,1.89,1.06,2.72,34.81,,
S08000023,Lanarkshire,male,90+,4.03,3.76,4.31,1.20,0.42,1.99,29.89,,
S08000023,Lanarkshire,female,less than 1,80.05,79.81,80.29,61.64,60.39,62.89,77.01,,
S08000023,Lanarkshire,female,1 to 4,79.22,78.99,79.45,60.79,59.54,62.05,76.74,,
S08000023,Lanarkshire,female,5 to 9,75.24,75.02,75.47,56.89,55.65,58.14,75.61,,
S08000023,Lanarkshire,female,10 to 14,70.27,70.04,70.50,52.06,50.82,53.29,74.08,,
S08000023,Lanarkshire,female,15 to 19,65.30,65.08,65.53,47.28,46.07,48.50,72.41,,
S08000023,Lanarkshire,female,20 to 24,60.35,60.12,60.57,42.62,41.43,43.81,70.62,,
S08000023,Lanarkshire,female,25 to 29,55.41,55.19,55.63,38.08,36.92,39.24,68.72,,
S08000023,Lanarkshire,female,30 to 34,50.55,50.34,50.77,33.70,32.56,34.84,66.67,,
S08000023,Lanarkshire,female,35 to 39,45.76,45.55,45.97,29.48,28.37,30.59,64.43,,
S08000023,Lanarkshire,female,40 to 44,41.06,40.86,41.26,25.46,24.38,26.55,62.01,,
S08000023,Lanarkshire,female,45 to 49,36.38,36.18,36.57,21.61,20.56,22.66,59.40,,
S08000023,Lanarkshire,female,50 to 54,31.82,31.63,32.00,18.00,16.98,19.03,56.58,,
S08000023,Lanarkshire,female,55 to 59,27.28,27.10,27.46,14.63,13.63,15.62,53.61,,
S08000023,Lanarkshire,female,60 to 64,22.95,22.78,23.12,11.61,10.65,12.57,50.58,,
S08000023,Lanarkshire,female,65 to 69,18.82,18.66,18.98,8.88,7.95,9.80,47.16,,
S08000023,Lanarkshire,female,70 to 74,14.93,14.78,15.09,6.49,5.60,7.38,43.46,,
S08000023,Lanarkshire,female,75 to 79,11.44,11.29,11.58,4.53,3.64,5.42,39.61,,
S08000023,Lanarkshire,female,80 to 84,8.52,8.38,8.65,3.05,2.24,3.87,35.86,,
S08000023,Lanarkshire,female,85 to 89,5.95,5.81,6.09,1.91,1.26,2.56,32.05,,
S08000023,Lanarkshire,female,90+,4.14,3.96,4.32,1.18,0.58,1.77,28.47,,
S08000024,Lothian,male,less than 1,78.06,77.82,78.30,64.10,62.87,65.34,82.12,,
S08000024,Lothian,male,1 to 4,77.40,77.18,77.62,63.40,62.16,64.64,81.91,,
S08000024,Lothian,male,5 to 9,73.45,73.23,73.67,59.54,58.31,60.78,81.07,,
S08000024,Lothian,male,10 to 14,68.48,68.26,68.70,54.72,53.49,55.95,79.90,,
S08000024,Lothian,male,15 to 19,63.52,63.30,63.74,49.93,48.71,51.15,78.60,,
S08000024,Lothian,male,20 to 24,58.61,58.40,58.83,45.23,44.02,46.43,77.16,,
S08000024,Lothian,male,25 to 29,53.73,53.51,53.94,40.61,39.43,41.80,75.59,,
S08000024,Lothian,male,30 to 34,48.90,48.69,49.11,36.12,34.95,37.28,73.85,,
S08000024,Lothian,male,35 to 39,44.20,44.00,44.40,31.81,30.65,32.96,71.96,,
S08000024,Lothian,male,40 to 44,39.48,39.29,39.68,27.62,26.49,28.75,69.95,,
S08000024,Lothian,male,45 to 49,34.86,34.67,35.06,23.63,22.54,24.73,67.79,,
S08000024,Lothian,male,50 to 54,30.38,30.19,30.57,19.86,18.77,20.94,65.37,,
S08000024,Lothian,male,55 to 59,26.05,25.87,26.23,16.32,15.24,17.39,62.64,,
S08000024,Lothian,male,60 to 64,21.80,21.63,21.98,13.04,11.99,14.10,59.83,,
S08000024,Lothian,male,65 to 69,17.83,17.67,18.00,10.17,9.13,11.22,57.04,,
S08000024,Lothian,male,70 to 74,14.18,14.02,14.34,7.63,6.56,8.70,53.82,,
S08000024,Lothian,male,75 to 79,10.93,10.78,11.08,5.46,4.32,6.60,49.95,,
S08000024,Lothian,male,80 to 84,8.15,8.00,8.29,3.70,2.57,4.84,45.46,,
S08000024,Lothian,male,85 to 89,5.81,5.65,5.96,2.41,1.47,3.35,41.55,,
S08000024,Lothian,male,90+,4.10,3.88,4.32,1.65,0.75,2.54,40.14,,
S08000024,Lothian,female,less than 1,82.03,81.82,82.25,63.98,62.44,65.53,78.00,,
S08000024,Lothian,female,1 to 4,81.19,80.99,81.40,63.23,61.68,64.77,77.88,,
S08000024,Lothian,female,5 to 9,77.22,77.02,77.42,59.73,58.22,61.24,77.35,,
S08000024,Lothian,female,10 to 14,72.23,72.03,72.43,55.27,53.82,56.72,76.52,,
S08000024,Lothian,female,15 to 19,67.26,67.06,67.46,50.82,49.42,52.21,75.55,,
S08000024,Lothian,female,20 to 24,62.33,62.14,62.53,46.50,45.17,47.83,74.60,,
S08000024,Lothian,female,25 to 29,57.38,57.19,57.58,42.19,40.90,43.47,73.51,,
S08000024,Lothian,female,30 to 34,52.46,52.27,52.66,37.90,36.65,39.16,72.25,,
S08000024,Lothian,female,35 to 39,47.57,47.38,47.76,33.62,32.40,34.85,70.68,,
S08000024,Lothian,female,40 to 44,42.74,42.56,42.93,29.51,28.30,30.71,69.03,,
S08000024,Lothian,female,45 to 49,38.02,37.84,38.20,25.57,24.39,26.75,67.26,,
S08000024,Lothian,female,50 to 54,33.36,33.19,33.54,21.71,20.55,22.87,65.08,,
S08000024,Lothian,female,55 to 59,28.83,28.65,29.00,18.06,16.92,19.21,62.67,,
S08000024,Lothian,female,60 to 64,24.38,24.22,24.55,14.67,13.54,15.81,60.18,,
S08000024,Lothian,female,65 to 69,20.17,20.01,20.33,11.36,10.23,12.49,56.32,,
S08000024,Lothian,female,70 to 74,16.16,16.01,16.31,8.27,7.12,9.42,51.19,,
S08000024,Lothian,female,75 to 79,12.49,12.35,12.63,5.60,4.42,6.77,44.82,,
S08000024,Lothian,female,80 to 84,9.28,9.14,9.41,3.51,2.38,4.64,37.81,,
S08000024,Lothian,female,85 to 89,6.53,6.40,6.66,2.15,1.23,3.07,32.92,,
S08000024,Lothian,female,90+,4.46,4.30,4.62,1.41,0.56,2.27,31.72,,
S08000025,Orkney,male,less than 1,79.52,78.03,81.01,64.62,59.46,69.77,81.25,,
S08000025,Orkney,male,1 to 4,78.52,77.03,80.01,63.68,58.52,68.83,81.09,,
S08000025,Orkney,male,5 to 9,74.52,73.03,76.01,60.05,54.95,65.16,80.58,,
S08000025,Orkney,male,10 to 14,69.52,68.03,71.01,55.54,50.51,60.56,79.88,,
S08000025,Orkney,male,15 to 19,64.72,63.28,66.17,51.22,46.27,56.17,79.14,,
S08000025,Orkney,male,20 to 24,59.72,58.28,61.17,46.85,42.01,51.69,78.44,,
S08000025,Orkney,male,25 to 29,54.89,53.48,56.30,42.41,37.75,47.06,77.26,,
S08000025,Orkney,male,30 to 34,50.33,49.00,51.66,38.34,34.21,42.46,76.17,,
S08000025,Orkney,male,35 to 39,45.91,44.70,47.13,34.29,30.49,38.09,74.68,,
S08000025,Orkney,male,40 to 44,41.18,40.01,42.35,30.24,27.27,33.22,73.44,,
S08000025,Orkney,male,45 to 49,36.50,35.38,37.62,26.31,23.51,29.11,72.08,,
S08000025,Orkney,male,50 to 54,31.86,30.77,32.94,22.21,19.50,24.92,69.72,,
S08000025,Orkney,male,55 to 59,27.57,26.53,28.61,18.37,15.71,21.03,66.63,,
S08000025,Orkney,male,60 to 64,23.41,22.41,24.41,14.84,12.22,17.46,63.39,,
S08000025,Orkney,male,65 to 69,19.46,18.51,20.41,11.75,9.20,14.30,60.39,,
S08000025,Orkney,male,70 to 74,15.60,14.68,16.51,8.78,6.26,11.29,56.27,,
S08000025,Orkney,male,75 to 79,12.17,11.27,13.06,6.42,3.84,9.01,52.78,,
S08000025,Orkney,male,80 to 84,9.58,8.68,10.48,4.27,1.76,6.78,44.56,,
S08000025,Orkney,male,85 to 89,6.52,5.59,7.44,2.68,0.66,4.70,41.15,,
S08000025,Orkney,male,90+,4.20,3.04,5.36,1.34,-0.37,3.05,31.92,,
S08000025,Orkney,female,less than 1,81.69,80.30,83.08,75.01,71.11,78.92,91.83,,
S08000025,Orkney,female,1 to 4,80.99,79.71,82.26,74.28,70.36,78.20,91.72,,
S08000025,Orkney,female,5 to 9,76.99,75.71,78.26,70.28,66.36,74.20,91.30,,
S08000025,Orkney,female,10 to 14,71.99,70.71,73.26,65.28,61.36,69.20,90.69,,
S08000025,Orkney,female,15 to 19,66.99,65.71,68.26,60.30,56.38,64.21,90.02,,
S08000025,Orkney,female,20 to 24,62.20,60.99,63.41,55.58,51.68,59.47,89.35,,
S08000025,Orkney,female,25 to 29,57.39,56.23,58.54,50.91,47.21,54.62,88.72,,
S08000025,Orkney,female,30 to 34,52.70,51.62,53.77,46.38,43.18,49.58,88.01,,
S08000025,Orkney,female,35 to 39,47.70,46.62,48.77,41.64,38.55,44.74,87.30,,
S08000025,Orkney,female,40 to 44,42.83,41.78,43.87,37.06,34.10,40.01,86.53,,
S08000025,Orkney,female,45 to 49,38.12,37.12,39.12,32.68,29.78,35.58,85.73,,
S08000025,Orkney,female,50 to 54,33.49,32.53,34.45,28.42,25.56,31.28,84.87,,
S08000025,Orkney,female,55 to 59,29.08,28.17,29.98,24.41,21.61,27.22,83.95,,
S08000025,Orkney,female,60 to 64,24.58,23.72,25.44,20.41,17.63,23.19,83.03,,
S08000025,Orkney,female,65 to 69,20.12,19.30,20.94,16.47,13.82,19.12,81.87,,
S08000025,Orkney,female,70 to 74,16.03,15.25,16.80,12.92,10.23,15.61,80.58,,
S08000025,Orkney,female,75 to 79,12.42,11.70,13.14,9.84,6.97,12.70,79.18,,
S08000025,Orkney,female,80 to 84,8.92,8.24,9.59,6.94,4.38,9.50,77.81,,
S08000025,Orkney,female,85 to 89,6.08,5.45,6.71,4.63,2.47,6.79,76.07,,
S08000025,Orkney,female,90+,3.79,3.06,4.53,2.87,1.04,4.71,75.77,,
S08000026,Shetland,male,less than 1,78.29,76.98,79.60,68.12,64.23,72.00,87.01,,
S08000026,Shetland,male,1 to 4,77.49,76.24,78.75,67.29,63.40,71.19,86.84,,
S08000026,Shetland,male,5 to 9,73.49,72.24,74.75,63.30,59.40,67.19,86.12,,
S08000026,Shetland,male,10 to 14,68.66,67.45,69.87,58.44,54.53,62.34,85.11,,
S08000026,Shetland,male,15 to 19,63.66,62.45,64.87,53.44,49.53,57.34,83.94,,
S08000026,Shetland,male,20 to 24,58.81,57.63,59.99,48.62,44.72,52.52,82.67,,
S08000026,Shetland,male,25 to 29,54.08,52.96,55.20,43.98,40.11,47.86,81.33,,
S08000026,Shetland,male,30 to 34,49.20,48.10,50.30,39.32,35.52,43.12,79.92,,
S08000026,Shetland,male,35 to 39,44.32,43.24,45.40,34.76,31.23,38.29,78.43,,
S08000026,Shetland,male,40 to 44,39.72,38.70,40.73,30.53,27.20,33.86,76.86,,
S08000026,Shetland,male,45 to 49,35.03,34.05,36.01,26.35,23.10,29.60,75.22,,
S08000026,Shetland,male,50 to 54,30.16,29.20,31.13,22.16,19.11,25.21,73.47,,
S08000026,Shetland,male,55 to 59,25.92,25.01,26.83,18.56,15.59,21.54,71.62,,
S08000026,Shetland,male,60 to 64,21.69,20.83,22.55,15.11,12.24,17.99,69.67,,
S08000026,Shetland,male,65 to 69,17.42,16.60,18.24,11.77,9.05,14.49,67.57,,
S08000026,Shetland,male,70 to 74,13.79,13.02,14.56,9.01,6.19,11.82,65.31,,
S08000026,Shetland,male,75 to 79,10.31,9.59,11.04,6.49,3.45,9.52,62.88,,
S08000026,Shetland,male,80 to 84,7.41,6.72,8.10,4.46,1.33,7.59,60.17,,
S08000026,Shetland,male,85 to 89,4.84,4.16,5.52,2.76,0.31,5.21,57.00,,
S08000026,Shetland,male,90+,3.25,2.29,4.21,1.71,-0.43,3.85,52.65,,
S08000026,Shetland,female,less than 1,83.19,82.11,84.26,67.11,62.43,71.79,80.67,,
S08000026,Shetland,female,1 to 4,82.19,81.11,83.26,66.11,61.43,70.79,80.44,,
S08000026,Shetland,female,5 to 9,78.19,77.11,79.26,62.11,57.43,66.79,79.44,,
S08000026,Shetland,female,10 to 14,73.19,72.11,74.26,57.16,52.49,61.82,78.10,,
S08000026,Shetland,female,15 to 19,68.19,67.11,69.26,52.29,47.67,56.91,76.69,,
S08000026,Shetland,female,20 to 24,63.19,62.11,64.26,47.56,43.02,52.09,75.26,,
S08000026,Shetland,female,25 to 29,58.19,57.11,59.26,42.92,38.46,47.38,73.76,,
S08000026,Shetland,female,30 to 34,53.19,52.11,54.26,38.43,34.22,42.64,72.25,,
S08000026,Shetland,female,35 to 39,48.19,47.11,49.26,34.04,30.02,38.05,70.64,,
S08000026,Shetland,female,40 to 44,43.41,42.38,44.44,29.92,26.04,33.80,68.92,,
S08000026,Shetland,female,45 to 49,38.50,37.49,39.52,25.87,22.12,29.63,67.20,,
S08000026,Shetland,female,50 to 54,33.65,32.64,34.65,21.99,18.39,25.58,65.35,,
S08000026,Shetland,female,55 to 59,28.89,27.91,29.87,18.32,14.84,21.79,63.40,,
S08000026,Shetland,female,60 to 64,24.81,23.91,25.72,15.16,11.67,18.65,61.09,,
S08000026,Shetland,female,65 to 69,20.32,19.45,21.19,11.90,8.55,15.25,58.56,,
S08000026,Shetland,female,70 to 74,15.95,15.11,16.79,8.87,5.59,12.15,55.62,,
S08000026,Shetland,female,75 to 79,12.04,11.24,12.84,6.28,2.88,9.67,52.14,,
S08000026,Shetland,female,80 to 84,8.84,8.09,9.59,4.32,1.14,7.50,48.83,,
S08000026,Shetland,female,85 to 89,6.34,5.60,7.08,2.88,0.18,5.58,45.42,,
S08000026,Shetland,female,90+,4.20,3.33,5.08,1.78,-0.66,4.22,42.36,,
S08000028,Western Isles,male,less than 1,76.81,75.39,78.23,64.97,62.27,67.67,84.58,,
S08000028,Western Isles,male,1 to 4,76.24,74.94,77.54,64.34,61.63,67.06,84.40,,
S08000028,Western Isles,male,5 to 9,72.43,71.18,73.68,60.54,57.83,63.26,83.59,,
S08000028,Western Isles,male,10 to 14,67.43,66.18,68.68,55.62,52.93,58.31,82.49,,
S08000028,Western Isles,male,15 to 19,62.43,61.18,63.68,50.70,48.02,53.37,81.20,,
S08000028,Western Isles,male,20 to 24,57.58,56.36,58.80,45.98,43.35,48.62,79.87,,
S08000028,Western Isles,male,25 to 29,52.72,51.54,53.91,41.30,38.79,43.82,78.34,,
S08000028,Western Isles,male,30 to 34,47.99,46.86,49.13,36.79,34.53,39.05,76.66,,
S08000028,Western Isles,male,35 to 39,43.35,42.29,44.42,32.47,30.39,34.54,74.89,,
S08000028,Western Isles,male,40 to 44,38.85,37.87,39.84,28.40,26.57,30.22,73.08,,
S08000028,Western Isles,male,45 to 49,34.37,33.45,35.29,24.45,22.73,26.16,71.12,,
S08000028,Western Isles,male,50 to 54,29.78,28.89,30.67,20.57,18.97,22.17,69.08,,
S08000028,Western Isles,male,55 to 59,25.35,24.50,26.20,16.89,15.40,18.38,66.62,,
S08000028,Western Isles,male,60 to 64,21.17,20.36,21.98,13.61,12.26,14.96,64.26,,
S08000028,Western Isles,male,65 to 69,17.45,16.69,18.21,10.71,9.42,11.99,61.34,,
S08000028,Western Isles,male,70 to 74,14.01,13.27,14.74,8.19,6.92,9.46,58.47,,
S08000028,Western Isles,male,75 to 79,11.10,10.40,11.79,6.23,4.96,7.51,56.19,,
S08000028,Western Isles,male,80 to 84,8.28,7.59,8.97,4.27,3.03,5.51,51.56,,
S08000028,Western Isles,male,85 to 89,5.77,5.05,6.50,2.66,1.64,3.69,46.13,,
S08000028,Western Isles,male,90+,4.02,2.97,5.07,1.53,0.59,2.47,38.07,,
S08000028,Western Isles,female,less than 1,82.77,81.69,83.86,67.22,63.96,70.49,81.22,,
S08000028,Western Isles,female,1 to 4,81.77,80.69,82.86,66.22,62.96,69.49,80.99,,
S08000028,Western Isles,female,5 to 9,77.77,76.69,78.86,62.22,58.96,65.49,80.01,,
S08000028,Western Isles,female,10 to 14,72.77,71.69,73.86,57.46,54.24,60.67,78.96,,
S08000028,Western Isles,female,15 to 19,67.77,66.69,68.86,52.61,49.43,55.79,77.63,,
S08000028,Western Isles,female,20 to 24,62.77,61.69,63.86,48.09,45.02,51.17,76.62,,
S08000028,Western Isles,female,25 to 29,57.77,56.69,58.86,43.72,40.84,46.61,75.68,,
S08000028,Western Isles,female,30 to 34,52.93,51.88,53.97,39.41,36.77,42.05,74.46,,
S08000028,Western Isles,female,35 to 39,48.05,47.04,49.07,35.22,33.03,37.40,73.29,,
S08000028,Western Isles,female,40 to 44,43.15,42.15,44.16,31.09,29.06,33.11,72.03,,
S08000028,Western Isles,female,45 to 49,38.56,37.62,39.51,27.09,25.24,28.94,70.24,,
S08000028,Western Isles,female,50 to 54,33.92,33.02,34.83,22.98,21.21,24.74,67.73,,
S08000028,Western Isles,female,55 to 59,29.38,28.51,30.25,19.22,17.52,20.93,65.42,,
S08000028,Western Isles,female,60 to 64,25.16,24.35,25.98,15.58,13.91,17.24,61.91,,
S08000028,Western Isles,female,65 to 69,20.95,20.19,21.72,11.94,10.31,13.58,57.00,,
S08000028,Western Isles,female,70 to 74,17.07,16.35,17.79,8.84,7.20,10.48,51.79,,
S08000028,Western Isles,female,75 to 79,13.24,12.57,13.91,5.78,4.12,7.43,43.61,,
S08000028,Western Isles,female,80 to 84,9.78,9.14,10.41,3.94,2.33,5.55,40.31,,
S08000028,Western Isles,female,85 to 89,6.71,6.07,7.35,2.70,1.38,4.02,40.24,,
S08000028,Western Isles,female,90+,4.94,4.13,5.75,2.09,0.73,3.46,42.42,,
S08000029,Fife,male,less than 1,77.19,76.82,77.56,62.29,60.41,64.17,80.70,,
S08000029,Fife,male,1 to 4,76.60,76.26,76.94,61.63,59.74,63.52,80.45,,
S08000029,Fife,male,5 to 9,72.65,72.31,72.99,57.70,55.82,59.59,79.43,,
S08000029,Fife,male,10 to 14,67.71,67.38,68.05,52.87,51.01,54.74,78.08,,
S08000029,Fife,male,15 to 19,62.75,62.41,63.08,48.11,46.29,49.93,76.68,,
S08000029,Fife,male,20 to 24,57.87,57.54,58.20,43.52,41.75,45.28,75.20,,
S08000029,Fife,male,25 to 29,52.99,52.67,53.32,39.03,37.31,40.75,73.65,,
S08000029,Fife,male,30 to 34,48.26,47.95,48.57,34.76,33.10,36.43,72.04,,
S08000029,Fife,male,35 to 39,43.64,43.34,43.93,30.70,29.09,32.31,70.35,,
S08000029,Fife,male,40 to 44,39.03,38.75,39.31,26.76,25.23,28.30,68.58,,
S08000029,Fife,male,45 to 49,34.43,34.16,34.70,22.97,21.49,24.44,66.70,,
S08000029,Fife,male,50 to 54,29.89,29.63,30.15,19.35,17.93,20.76,64.71,,
S08000029,Fife,male,55 to 59,25.65,25.40,25.89,16.06,14.72,17.41,62.63,,
S08000029,Fife,male,60 to 64,21.47,21.23,21.70,12.98,11.72,14.24,60.47,,
S08000029,Fife,male,65 to 69,17.55,17.33,17.77,10.21,8.99,11.42,58.17,,
S08000029,Fife,male,70 to 74,13.98,13.77,14.19,7.79,6.58,8.99,55.69,,
S08000029,Fife,male,75 to 79,10.68,10.48,10.88,5.65,4.41,6.90,52.97,,
S08000029,Fife,male,80 to 84,7.76,7.57,7.96,3.88,2.69,5.07,49.94,,
S08000029,Fife,male,85 to 89,5.60,5.39,5.82,2.62,1.62,3.63,46.79,,
S08000029,Fife,male,90+,3.93,3.64,4.23,1.70,0.76,2.64,43.20,,
S08000029,Fife,female,less than 1,80.81,80.47,81.15,61.87,59.47,64.26,76.56,,
S08000029,Fife,female,1 to 4,80.16,79.85,80.47,61.24,58.83,63.64,76.39,,
S08000029,Fife,female,5 to 9,76.20,75.89,76.51,57.69,55.33,60.05,75.71,,
S08000029,Fife,female,10 to 14,71.21,70.90,71.52,53.28,50.99,55.57,74.82,,
S08000029,Fife,female,15 to 19,66.24,65.93,66.54,48.97,46.77,51.18,73.93,,
S08000029,Fife,female,20 to 24,61.28,60.97,61.58,44.71,42.60,46.82,72.96,,
S08000029,Fife,female,25 to 29,56.41,56.11,56.70,40.55,38.55,42.56,71.90,,
S08000029,Fife,female,30 to 34,51.51,51.22,51.80,36.46,34.51,38.42,70.79,,
S08000029,Fife,female,35 to 39,46.71,46.42,46.99,32.57,30.68,34.47,69.74,,
S08000029,Fife,female,40 to 44,42.06,41.79,42.33,28.87,27.03,30.70,68.63,,
S08000029,Fife,female,45 to 49,37.34,37.08,37.60,25.20,23.43,26.97,67.48,,
S08000029,Fife,female,50 to 54,32.79,32.54,33.04,21.75,20.04,23.47,66.34,,
S08000029,Fife,female,55 to 59,28.33,28.09,28.57,18.41,16.75,20.08,65.00,,
S08000029,Fife,female,60 to 64,23.96,23.73,24.18,15.24,13.60,16.88,63.63,,
S08000029,Fife,female,65 to 69,19.71,19.50,19.93,12.32,10.71,13.94,62.51,,
S08000029,Fife,female,70 to 74,15.72,15.51,15.92,9.69,8.05,11.33,61.66,,
S08000029,Fife,female,75 to 79,12.13,11.94,12.32,7.40,5.69,9.12,61.05,,
S08000029,Fife,female,80 to 84,8.96,8.78,9.14,5.39,3.58,7.20,60.12,,
S08000029,Fife,female,85 to 89,6.31,6.13,6.49,3.65,2.12,5.18,57.85,,
S08000029,Fife,female,90+,4.31,4.09,4.53,2.29,0.83,3.75,53.16,,
S08000030,Tayside,male,less than 1,77.10,76.74,77.46,62.62,61.48,63.76,81.22,,
S08000030,Tayside,male,1 to 4,76.48,76.14,76.82,61.98,60.83,63.13,81.04,,
S08000030,Tayside,male,5 to 9,72.55,72.22,72.88,58.22,57.09,59.35,80.25,,
S08000030,Tayside,male,10 to 14,67.57,67.24,67.90,53.54,52.43,54.64,79.23,,
S08000030,Tayside,male,15 to 19,62.58,62.25,62.91,48.87,47.80,49.95,78.09,,
S08000030,Tayside,male,20 to 24,57.69,57.36,58.02,44.35,43.32,45.39,76.88,,
S08000030,Tayside,male,25 to 29,52.83,52.51,53.16,39.95,38.94,40.96,75.61,,
S08000030,Tayside,male,30 to 34,48.19,47.88,48.51,35.80,34.83,36.78,74.29,,
S08000030,Tayside,male,35 to 39,43.62,43.32,43.92,31.78,30.83,32.73,72.86,,
S08000030,Tayside,male,40 to 44,39.15,38.87,39.43,27.93,27.03,28.84,71.35,,
S08000030,Tayside,male,45 to 49,34.75,34.49,35.01,24.26,23.39,25.13,69.82,,
S08000030,Tayside,male,50 to 54,30.39,30.14,30.63,20.62,19.78,21.45,67.86,,
S08000030,Tayside,male,55 to 59,26.07,25.83,26.31,17.14,16.33,17.95,65.75,,
S08000030,Tayside,male,60 to 64,21.93,21.70,22.15,14.01,13.24,14.79,63.91,,
S08000030,Tayside,male,65 to 69,18.01,17.79,18.22,11.16,10.41,11.92,61.99,,
S08000030,Tayside,male,70 to 74,14.37,14.17,14.57,8.49,7.73,9.24,59.06,,
S08000030,Tayside,male,75 to 79,11.11,10.92,11.30,6.18,5.40,6.96,55.62,,
S08000030,Tayside,male,80 to 84,8.25,8.07,8.43,4.31,3.52,5.09,52.22,,
S08000030,Tayside,male,85 to 89,5.85,5.66,6.05,2.85,2.19,3.51,48.71,,
S08000030,Tayside,male,90+,4.02,3.75,4.29,2.05,1.43,2.66,50.96,,
S08000030,Tayside,female,less than 1,81.19,80.85,81.52,63.74,62.46,65.02,78.51,,
S08000030,Tayside,female,1 to 4,80.60,80.30,80.90,63.14,61.86,64.42,78.34,,
S08000030,Tayside,female,5 to 9,76.67,76.38,76.97,59.51,58.25,60.78,77.62,,
S08000030,Tayside,female,10 to 14,71.69,71.39,71.98,54.95,53.71,56.19,76.66,,
S08000030,Tayside,female,15 to 19,66.72,66.43,67.01,50.45,49.24,51.66,75.62,,
S08000030,Tayside,female,20 to 24,61.79,61.51,62.08,46.05,44.87,47.22,74.52,,
S08000030,Tayside,female,25 to 29,56.86,56.57,57.14,41.70,40.57,42.83,73.34,,
S08000030,Tayside,female,30 to 34,51.98,51.70,52.26,37.47,36.38,38.57,72.09,,
S08000030,Tayside,female,35 to 39,47.15,46.88,47.42,33.36,32.30,34.42,70.76,,
S08000030,Tayside,female,40 to 44,42.40,42.14,42.67,29.40,28.39,30.42,69.34,,
S08000030,Tayside,female,45 to 49,37.72,37.46,37.97,25.59,24.62,26.55,67.84,,
S08000030,Tayside,female,50 to 54,33.07,32.83,33.31,21.91,20.97,22.84,66.24,,
S08000030,Tayside,female,55 to 59,28.60,28.37,28.84,18.46,17.55,19.37,64.54,,
