Table 5: Life expectancy and healthy life expectancy in deprivation deciles  2015-2017,,,,,,,,,,,,
,,,,,,,,,,,,
SIMD decile (SIMD 2016),sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,,
decile 8,female,25 to 29,59.02,58.79,59.25,46.07,44.82,47.31,78.05,,,
decile 8,female,30 to 34,54.07,53.85,54.30,41.55,40.34,42.77,76.85,,,
decile 8,female,35 to 39,49.17,48.95,49.40,37.12,35.94,38.30,75.48,,,
decile 8,female,40 to 44,44.31,44.09,44.53,32.77,31.62,33.93,73.97,,,
decile 8,female,45 to 49,39.45,39.24,39.66,28.52,27.39,29.66,72.30,,,
decile 8,female,50 to 54,34.68,34.47,34.89,24.42,23.31,25.53,70.41,,,
decile 8,female,55 to 59,30.01,29.81,30.21,20.50,19.41,21.60,68.32,,,
decile 8,female,60 to 64,25.41,25.21,25.61,16.78,15.71,17.85,66.03,,,
decile 8,female,65 to 69,21.02,20.83,21.21,13.26,12.20,14.31,63.06,,,
decile 8,female,70 to 74,16.87,16.69,17.06,10.02,8.97,11.08,59.41,,,
decile 8,female,75 to 79,12.98,12.81,13.15,7.17,6.10,8.24,55.24,,,
decile 8,female,80 to 84,9.58,9.42,9.74,4.84,3.84,5.85,50.55,,,
decile 8,female,85 to 89,6.62,6.46,6.78,3.11,2.28,3.94,46.94,,,
decile 8,female,90+,4.56,4.36,4.76,2.00,1.21,2.79,43.90,,,
decile 9,male,less than 1,81.20,80.93,81.48,69.01,67.69,70.34,84.99,,,
decile 9,male,1 to 4,80.41,80.15,80.67,68.20,66.87,69.53,84.81,,,
decile 9,male,5 to 9,76.47,76.21,76.72,64.37,63.05,65.69,84.18,,,
decile 9,male,10 to 14,71.48,71.22,71.73,59.57,58.26,60.88,83.34,,,
decile 9,male,15 to 19,66.50,66.24,66.75,54.83,53.54,56.13,82.46,,,
decile 9,male,20 to 24,61.63,61.38,61.87,50.27,49.00,51.55,81.58,,,
decile 9,male,25 to 29,56.73,56.49,56.98,45.81,44.56,47.05,80.74,,,
decile 9,male,30 to 34,51.87,51.63,52.11,41.36,40.16,42.57,79.75,,,
decile 9,male,35 to 39,47.02,46.78,47.25,36.90,35.73,38.08,78.49,,,
decile 9,male,40 to 44,42.19,41.96,42.42,32.41,31.26,33.56,76.81,,,
decile 9,male,45 to 49,37.42,37.20,37.64,27.95,26.81,29.09,74.69,,,
decile 9,male,50 to 54,32.69,32.48,32.91,23.54,22.41,24.68,72.01,,,
decile 9,male,55 to 59,28.08,27.86,28.29,19.32,18.20,20.44,68.82,,,
decile 9,male,60 to 64,23.57,23.36,23.77,15.33,14.22,16.45,65.06,,,
decile 9,male,65 to 69,19.29,19.09,19.49,11.76,10.65,12.87,60.96,,,
decile 9,male,70 to 74,15.32,15.13,15.51,8.45,7.31,9.58,55.13,,,
decile 9,male,75 to 79,11.69,11.50,11.87,5.58,4.39,6.77,47.75,,,
decile 9,male,80 to 84,8.60,8.42,8.77,3.42,2.39,4.45,39.81,,,
decile 9,male,85 to 89,6.01,5.82,6.20,2.02,1.19,2.84,33.57,,,
decile 9,male,90+,4.14,3.88,4.41,1.23,0.48,1.98,29.71,,,
decile 9,female,less than 1,84.07,83.81,84.32,68.58,66.90,70.26,81.58,,,
decile 9,female,1 to 4,83.28,83.04,83.52,67.91,66.22,69.59,81.54,,,
decile 9,female,5 to 9,79.30,79.06,79.53,64.49,62.86,66.12,81.33,,,
decile 9,female,10 to 14,74.32,74.09,74.56,60.15,58.59,61.70,80.93,,,
decile 9,female,15 to 19,69.34,69.11,69.57,55.73,54.25,57.22,80.38,,,
decile 9,female,20 to 24,64.38,64.15,64.61,51.32,49.90,52.73,79.71,,,
decile 9,female,25 to 29,59.46,59.23,59.68,46.92,45.55,48.29,78.91,,,
decile 9,female,30 to 34,54.52,54.30,54.75,42.49,41.15,43.82,77.92,,,
decile 9,female,35 to 39,49.58,49.36,49.81,38.03,36.73,39.32,76.69,,,
decile 9,female,40 to 44,44.73,44.51,44.95,33.65,32.37,34.92,75.22,,,
decile 9,female,45 to 49,39.85,39.63,40.06,29.27,28.03,30.51,73.46,,,
decile 9,female,50 to 54,35.09,34.88,35.30,25.05,23.82,26.28,71.39,,,
decile 9,female,55 to 59,30.41,30.21,30.62,20.97,19.75,22.18,68.93,,,
decile 9,female,60 to 64,25.82,25.63,26.02,17.05,15.84,18.26,66.01,,,
decile 9,female,65 to 69,21.40,21.21,21.59,13.36,12.15,14.57,62.43,,,
decile 9,female,70 to 74,17.13,16.95,17.31,9.92,8.70,11.14,57.94,,,
decile 9,female,75 to 79,13.20,13.02,13.37,6.94,5.69,8.20,52.62,,,
decile 9,female,80 to 84,9.66,9.50,9.83,4.51,3.31,5.70,46.64,,,
decile 9,female,85 to 89,6.76,6.59,6.93,2.74,1.74,3.73,40.46,,,
decile 9,female,90+,4.74,4.53,4.95,1.73,0.78,2.67,36.40,,,
decile 10 (least deprived),male,less than 1,82.66,82.40,82.93,71.84,70.42,73.26,86.91,,,
decile 10 (least deprived),male,1 to 4,81.78,81.53,82.04,70.95,69.52,72.37,86.75,,,
decile 10 (least deprived),male,5 to 9,77.81,77.56,78.07,66.97,65.55,68.40,86.07,,,
decile 10 (least deprived),male,10 to 14,72.84,72.59,73.10,62.04,60.62,63.46,85.17,,,
decile 10 (least deprived),male,15 to 19,67.87,67.62,68.12,57.14,55.73,58.56,84.19,,,
decile 10 (least deprived),male,20 to 24,62.92,62.67,63.17,52.32,50.92,53.73,83.16,,,
decile 10 (least deprived),male,25 to 29,57.99,57.74,58.24,47.60,46.20,48.99,82.08,,,
decile 10 (least deprived),male,30 to 34,53.13,52.89,53.38,42.98,41.60,44.36,80.89,,,
decile 10 (least deprived),male,35 to 39,48.26,48.02,48.50,38.39,37.03,39.75,79.55,,,
decile 10 (least deprived),male,40 to 44,43.38,43.15,43.61,33.84,32.50,35.18,78.01,,,
decile 10 (least deprived),male,45 to 49,38.59,38.37,38.82,29.45,28.14,30.76,76.30,,,
decile 10 (least deprived),male,50 to 54,33.86,33.64,34.08,25.15,23.85,26.45,74.28,,,
decile 10 (least deprived),male,55 to 59,29.16,28.94,29.37,20.99,19.71,22.28,72.00,,,
decile 10 (least deprived),male,60 to 64,24.59,24.38,24.80,17.06,15.79,18.33,69.37,,,
decile 10 (least deprived),male,65 to 69,20.21,20.01,20.42,13.42,12.17,14.68,66.42,,,
decile 10 (least deprived),male,70 to 74,16.08,15.88,16.28,10.13,8.86,11.39,62.99,,,
decile 10 (least deprived),male,75 to 79,12.36,12.17,12.55,7.26,5.93,8.58,58.70,,,
decile 10 (least deprived),male,80 to 84,9.03,8.84,9.21,4.87,3.64,6.10,53.96,,,
decile 10 (least deprived),male,85 to 89,6.22,6.03,6.42,3.08,2.07,4.10,49.57,,,
decile 10 (least deprived),male,90+,4.23,3.97,4.49,2.03,1.09,2.98,48.14,,,
decile 10 (least deprived),female,less than 1,85.34,85.09,85.58,72.61,71.15,74.08,85.09,,,
decile 10 (least deprived),female,1 to 4,84.47,84.24,84.70,71.73,70.26,73.19,84.91,,,
decile 10 (least deprived),female,5 to 9,80.52,80.29,80.75,67.77,66.30,69.24,84.16,,,
decile 10 (least deprived),female,10 to 14,75.55,75.32,75.77,62.81,61.35,64.27,83.14,,,
decile 10 (least deprived),female,15 to 19,70.57,70.34,70.80,57.90,56.45,59.35,82.04,,,
decile 10 (least deprived),female,20 to 24,65.63,65.40,65.85,53.13,51.72,54.54,80.96,,,
decile 10 (least deprived),female,25 to 29,60.66,60.44,60.89,48.42,47.04,49.81,79.82,,,
decile 10 (least deprived),female,30 to 34,55.68,55.46,55.90,43.73,42.38,45.08,78.54,,,
decile 10 (least deprived),female,35 to 39,50.74,50.52,50.96,39.09,37.77,40.41,77.05,,,
decile 10 (least deprived),female,40 to 44,45.84,45.62,46.06,34.55,33.24,35.85,75.36,,,
decile 10 (least deprived),female,45 to 49,40.98,40.77,41.19,30.11,28.82,31.40,73.48,,,
decile 10 (least deprived),female,50 to 54,36.15,35.94,36.36,25.75,24.49,27.02,71.24,,,
decile 10 (least deprived),female,55 to 59,31.40,31.19,31.60,21.54,20.30,22.79,68.62,,,
decile 10 (least deprived),female,60 to 64,26.78,26.58,26.97,17.55,16.32,18.79,65.56,,,
decile 10 (least deprived),female,65 to 69,22.19,22.00,22.38,13.65,12.44,14.87,61.54,,,
decile 10 (least deprived),female,70 to 74,17.86,17.68,18.04,10.07,8.85,11.29,56.37,,,
decile 10 (least deprived),female,75 to 79,13.71,13.53,13.88,6.85,5.64,8.07,49.99,,,
decile 10 (least deprived),female,80 to 84,10.06,9.90,10.23,4.29,3.19,5.39,42.62,,,
decile 10 (least deprived),female,85 to 89,6.97,6.81,7.13,2.52,1.62,3.41,36.08,,,
decile 10 (least deprived),female,90+,4.55,4.36,4.75,1.44,0.65,2.23,31.60,,,
,,,,,,,,,,,,
© Crown copyright 2019,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
