"Table 4: Healthy Life Expectancy (HLE estimates by SIMD decile in Scotland, 2018-2020",,,,,,,,,
,,,,,,,,,
SIMD decile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Decile 8,Male,60 to 64,22.93,22.74,23.12,14.38,13.45,15.31,62.73
Decile 8,Male,65 to 69,18.73,18.55,18.91,10.99,10.10,11.88,58.67
Decile 8,Male,70 to 74,14.81,14.63,14.98,7.91,7.02,8.79,53.40
Decile 8,Male,75 to 79,11.16,11.00,11.33,5.34,4.46,6.22,47.82
Decile 8,Male,80 to 84,8.20,8.04,8.36,3.36,2.62,4.10,40.98
Decile 8,Male,85 to 89,5.81,5.64,5.98,1.99,1.39,2.59,34.31
Decile 8,Male,90+,3.89,3.65,4.12,1.31,0.77,1.85,33.78
Decile 9,Female,<1,84.45,84.21,84.69,70.22,68.80,71.65,83.15
Decile 9,Female,1 to 4,83.57,83.34,83.80,69.36,67.93,70.79,83.00
Decile 9,Female,5 to 9,79.61,79.39,79.84,65.54,64.12,66.96,82.32
Decile 9,Female,10 to 14,74.62,74.40,74.85,60.72,59.32,62.13,81.38
Decile 9,Female,15 to 19,69.65,69.42,69.87,55.95,54.55,57.34,80.33
Decile 9,Female,20 to 24,64.71,64.48,64.93,51.25,49.87,52.62,79.20
Decile 9,Female,25 to 29,59.75,59.53,59.97,46.60,45.25,47.94,77.98
Decile 9,Female,30 to 34,54.82,54.60,55.03,42.00,40.69,43.31,76.62
Decile 9,Female,35 to 39,49.86,49.65,50.08,37.44,36.17,38.70,75.07
Decile 9,Female,40 to 44,44.94,44.73,45.15,32.96,31.72,34.20,73.34
Decile 9,Female,45 to 49,40.11,39.90,40.32,28.63,27.41,29.85,71.38
Decile 9,Female,50 to 54,35.29,35.08,35.49,24.41,23.21,25.60,69.17
Decile 9,Female,55 to 59,30.56,30.36,30.76,20.37,19.20,21.54,66.65
Decile 9,Female,60 to 64,25.98,25.79,26.17,16.56,15.41,17.71,63.75
Decile 9,Female,65 to 69,21.51,21.33,21.70,12.97,11.85,14.09,60.29
Decile 9,Female,70 to 74,17.28,17.10,17.46,9.69,8.57,10.80,56.06
Decile 9,Female,75 to 79,13.28,13.11,13.45,6.79,5.68,7.91,51.14
Decile 9,Female,80 to 84,9.73,9.56,9.89,4.44,3.43,5.45,45.66
Decile 9,Female,85 to 89,6.80,6.64,6.97,2.72,1.89,3.56,40.03
Decile 9,Female,90+,4.79,4.58,4.99,1.73,0.93,2.54,36.25
Decile 9,Male,<1,81.56,81.29,81.82,69.94,68.59,71.29,85.75
Decile 9,Male,1 to 4,80.70,80.45,80.95,69.06,67.71,70.42,85.58
Decile 9,Male,5 to 9,76.72,76.47,76.97,65.12,63.77,66.47,84.88
Decile 9,Male,10 to 14,71.75,71.51,72.00,60.21,58.87,61.56,83.92
Decile 9,Male,15 to 19,66.80,66.55,67.04,55.36,54.02,56.69,82.87
Decile 9,Male,20 to 24,61.85,61.61,62.09,50.57,49.25,51.89,81.76
Decile 9,Male,25 to 29,56.97,56.73,57.21,45.91,44.61,47.21,80.59
Decile 9,Male,30 to 34,52.13,51.90,52.37,41.33,40.07,42.59,79.28
Decile 9,Male,35 to 39,47.25,47.02,47.47,36.75,35.51,37.99,77.78
Decile 9,Male,40 to 44,42.37,42.15,42.59,32.21,30.99,33.43,76.03
Decile 9,Male,45 to 49,37.59,37.38,37.81,27.82,26.63,29.01,74.00
Decile 9,Male,50 to 54,32.84,32.62,33.05,23.53,22.36,24.69,71.64
Decile 9,Male,55 to 59,28.21,28.00,28.42,19.46,18.32,20.60,68.97
Decile 9,Male,60 to 64,23.68,23.48,23.88,15.62,14.49,16.74,65.95
Decile 9,Male,65 to 69,19.45,19.25,19.64,12.18,11.08,13.28,62.65
Decile 9,Male,70 to 74,15.46,15.27,15.64,9.04,7.93,10.15,58.49
Decile 9,Male,75 to 79,11.74,11.56,11.92,6.28,5.13,7.43,53.47
Decile 9,Male,80 to 84,8.60,8.43,8.78,4.13,3.04,5.22,47.97
Decile 9,Male,85 to 89,6.09,5.91,6.28,2.61,1.71,3.52,42.87
Decile 9,Male,90+,4.32,4.06,4.58,1.65,0.79,2.52,38.30
Decile 10 (least deprived),Female,<1,85.55,85.32,85.79,72.86,71.41,74.31,85.16
Decile 10 (least deprived),Female,1 to 4,84.64,84.41,84.86,71.95,70.50,73.40,85.01
Decile 10 (least deprived),Female,5 to 9,80.64,80.41,80.86,68.07,66.63,69.51,84.42
Decile 10 (least deprived),Female,10 to 14,75.66,75.44,75.89,63.26,61.83,64.69,83.61
Decile 10 (least deprived),Female,15 to 19,70.70,70.48,70.92,58.49,57.08,59.91,82.73
Decile 10 (least deprived),Female,20 to 24,65.76,65.55,65.98,53.84,52.45,55.23,81.87
Decile 10 (least deprived),Female,25 to 29,60.82,60.61,61.04,49.24,47.89,50.60,80.96
Decile 10 (least deprived),Female,30 to 34,55.89,55.68,56.10,44.67,43.34,45.99,79.92
Decile 10 (least deprived),Female,35 to 39,50.93,50.72,51.14,40.08,38.79,41.37,78.69
Decile 10 (least deprived),Female,40 to 44,46.06,45.85,46.26,35.59,34.33,36.86,77.29
Decile 10 (least deprived),Female,45 to 49,41.14,40.94,41.34,31.15,29.91,32.38,75.70
Decile 10 (least deprived),Female,50 to 54,36.32,36.13,36.52,26.80,25.58,28.02,73.79
Decile 10 (least deprived),Female,55 to 59,31.58,31.39,31.77,22.59,21.40,23.79,71.53
Decile 10 (least deprived),Female,60 to 64,26.87,26.68,27.05,18.50,17.34,19.66,68.87
Decile 10 (least deprived),Female,65 to 69,22.31,22.13,22.49,14.57,13.43,15.72,65.32
Decile 10 (least deprived),Female,70 to 74,17.90,17.73,18.07,10.87,9.74,11.99,60.72
Decile 10 (least deprived),Female,75 to 79,13.70,13.53,13.86,7.53,6.41,8.65,54.99
Decile 10 (least deprived),Female,80 to 84,10.03,9.87,10.18,4.85,3.84,5.86,48.35
Decile 10 (least deprived),Female,85 to 89,6.83,6.68,6.98,2.90,2.08,3.72,42.49
Decile 10 (least deprived),Female,90+,4.33,4.15,4.51,1.67,0.95,2.38,38.53
Decile 10 (least deprived),Male,<1,82.45,82.18,82.71,69.75,68.32,71.17,84.60
Decile 10 (least deprived),Male,1 to 4,81.65,81.40,81.89,68.95,67.53,70.38,84.45
Decile 10 (least deprived),Male,5 to 9,77.70,77.46,77.94,65.08,63.66,66.50,83.76
Decile 10 (least deprived),Male,10 to 14,72.72,72.48,72.96,60.25,58.84,61.66,82.86
Decile 10 (least deprived),Male,15 to 19,67.74,67.50,67.98,55.47,54.08,56.87,81.89
Decile 10 (least deprived),Male,20 to 24,62.81,62.57,63.05,50.82,49.45,52.19,80.91
Decile 10 (least deprived),Male,25 to 29,57.96,57.73,58.19,46.32,45.01,47.63,79.91
Decile 10 (least deprived),Male,30 to 34,53.05,52.82,53.28,41.79,40.51,43.08,78.78
Decile 10 (least deprived),Male,35 to 39,48.20,47.97,48.42,37.28,36.03,38.53,77.35
Decile 10 (least deprived),Male,40 to 44,43.32,43.10,43.54,32.71,31.48,33.94,75.51
Decile 10 (least deprived),Male,45 to 49,38.46,38.25,38.67,28.22,27.01,29.43,73.37
Decile 10 (least deprived),Male,50 to 54,33.66,33.45,33.87,23.74,22.56,24.93,70.54
Decile 10 (least deprived),Male,55 to 59,29.00,28.80,29.20,19.47,18.31,20.64,67.15
Decile 10 (least deprived),Male,60 to 64,24.43,24.23,24.62,15.39,14.24,16.54,62.99
Decile 10 (least deprived),Male,65 to 69,20.09,19.91,20.28,11.69,10.55,12.82,58.16
Decile 10 (least deprived),Male,70 to 74,15.94,15.76,16.11,8.34,7.22,9.45,52.31
Decile 10 (least deprived),Male,75 to 79,12.07,11.90,12.25,5.35,4.21,6.50,44.33
Decile 10 (least deprived),Male,80 to 84,8.75,8.59,8.92,3.10,2.00,4.20,35.41
Decile 10 (least deprived),Male,85 to 89,5.89,5.73,6.06,1.65,0.83,2.48,28.04
Decile 10 (least deprived),Male,90+,3.83,3.61,4.05,1.17,0.43,1.92,30.66
,,,,,,,,,
Footnotes,,,,,,,,,
Decile 1 (most deprived)) HLE estimates are based on the five point response general health question in the annual population survey (APS). Those answered as in 'good' or 'very good' health were classified as being in health.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
© Crown Copyright 2022,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
