"Table 3: Healthy Life Expectancy (HLE1) estimates by health board in Scotland, 2018-2020",,,,,,,,,,
,,,,,,,,,,
NHS Board,Area code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Greater Glasgow and Clyde,S08000031,Male,65 to 69,16.41,16.28,16.55,8.39,7.63,9.14,51.10
Greater Glasgow and Clyde,S08000031,Male,70 to 74,13.03,12.91,13.16,6.25,5.50,7.01,47.96
Greater Glasgow and Clyde,S08000031,Male,75 to 79,9.98,9.86,10.10,4.45,3.66,5.24,44.58
Greater Glasgow and Clyde,S08000031,Male,80 to 84,7.53,7.41,7.65,3.09,2.29,3.90,41.04
Greater Glasgow and Clyde,S08000031,Male,85 to 89,5.52,5.39,5.65,2.07,1.40,2.74,37.49
Greater Glasgow and Clyde,S08000031,Male,90+,4.24,4.04,4.43,1.43,0.75,2.11,33.71
Highland,S08000022,Female,<1,81.75,81.38,82.13,65.14,62.88,67.40,79.68
Highland,S08000022,Female,1 to 4,80.97,80.62,81.32,64.36,62.10,66.63,79.49
Highland,S08000022,Female,5 to 9,77.06,76.72,77.41,60.66,58.44,62.89,78.72
Highland,S08000022,Female,10 to 14,72.09,71.75,72.43,56.02,53.86,58.17,77.70
Highland,S08000022,Female,15 to 19,67.15,66.81,67.48,51.41,49.34,53.49,76.57
Highland,S08000022,Female,20 to 24,62.33,62.00,62.65,47.01,45.04,48.99,75.43
Highland,S08000022,Female,25 to 29,57.53,57.23,57.84,42.74,40.87,44.62,74.29
Highland,S08000022,Female,30 to 34,52.65,52.35,52.95,38.44,36.78,40.09,73.01
Highland,S08000022,Female,35 to 39,47.81,47.52,48.10,34.24,32.69,35.79,71.62
Highland,S08000022,Female,40 to 44,43.03,42.75,43.31,30.18,28.71,31.65,70.13
Highland,S08000022,Female,45 to 49,38.32,38.05,38.58,26.22,24.96,27.49,68.43
Highland,S08000022,Female,50 to 54,33.69,33.44,33.95,22.45,21.24,23.66,66.63
Highland,S08000022,Female,55 to 59,29.12,28.88,29.36,18.82,17.67,19.96,64.61
Highland,S08000022,Female,60 to 64,24.74,24.51,24.97,15.46,14.38,16.55,62.50
Highland,S08000022,Female,65 to 69,20.60,20.38,20.81,12.26,11.20,13.33,59.55
Highland,S08000022,Female,70 to 74,16.55,16.35,16.75,9.28,8.24,10.32,56.07
Highland,S08000022,Female,75 to 79,12.66,12.46,12.85,6.59,5.55,7.62,52.03
Highland,S08000022,Female,80 to 84,9.36,9.18,9.54,4.48,3.49,5.47,47.86
Highland,S08000022,Female,85 to 89,6.49,6.31,6.67,2.88,2.07,3.70,44.47
Highland,S08000022,Female,90+,4.22,4.00,4.44,1.80,1.07,2.53,42.60
Highland,S08000022,Male,<1,77.63,77.21,78.05,64.30,62.51,66.08,82.83
Highland,S08000022,Male,1 to 4,76.92,76.52,77.31,63.53,61.74,65.32,82.60
Highland,S08000022,Male,5 to 9,72.95,72.55,73.34,59.57,57.78,61.36,81.66
Highland,S08000022,Male,10 to 14,67.95,67.55,68.34,54.64,52.85,56.42,80.41
Highland,S08000022,Male,15 to 19,62.99,62.59,63.38,49.80,48.02,51.58,79.06
Highland,S08000022,Male,20 to 24,58.21,57.83,58.59,45.19,43.41,46.96,77.63
Highland,S08000022,Male,25 to 29,53.43,53.06,53.80,40.67,38.93,42.41,76.12
Highland,S08000022,Male,30 to 34,48.87,48.52,49.22,36.42,34.82,38.01,74.52
Highland,S08000022,Male,35 to 39,44.35,44.02,44.68,32.29,30.80,33.79,72.81
Highland,S08000022,Male,40 to 44,39.82,39.51,40.13,28.27,26.86,29.68,70.99
Highland,S08000022,Male,45 to 49,35.42,35.13,35.71,24.45,23.11,25.78,69.03
Highland,S08000022,Male,50 to 54,31.03,30.76,31.30,20.76,19.57,21.95,66.91
Highland,S08000022,Male,55 to 59,26.74,26.48,27.00,17.30,16.18,18.43,64.71
Highland,S08000022,Male,60 to 64,22.54,22.30,22.79,14.05,12.98,15.13,62.34
Highland,S08000022,Male,65 to 69,18.59,18.36,18.83,11.14,10.09,12.19,59.89
Highland,S08000022,Male,70 to 74,14.88,14.66,15.10,8.51,7.45,9.56,57.15
Highland,S08000022,Male,75 to 79,11.54,11.32,11.75,6.25,5.14,7.36,54.19
Highland,S08000022,Male,80 to 84,8.45,8.24,8.66,4.30,3.16,5.44,50.85
Highland,S08000022,Male,85 to 89,6.05,5.82,6.28,2.87,1.91,3.83,47.46
Highland,S08000022,Male,90+,4.31,3.98,4.63,1.91,0.98,2.84,44.36
Lanarkshire,S08000032,Female,<1,79.84,79.59,80.08,58.77,57.06,60.49,73.62
Lanarkshire,S08000032,Female,1 to 4,79.08,78.85,79.32,58.08,56.36,59.79,73.44
Lanarkshire,S08000032,Female,5 to 9,75.12,74.89,75.35,54.59,52.91,56.26,72.66
Lanarkshire,S08000032,Female,10 to 14,70.15,69.93,70.38,50.22,48.60,51.84,71.58
Lanarkshire,S08000032,Female,15 to 19,65.20,64.97,65.42,45.88,44.32,47.44,70.37
Lanarkshire,S08000032,Female,20 to 24,60.25,60.03,60.47,41.60,40.11,43.09,69.05
Lanarkshire,S08000032,Female,25 to 29,55.35,55.14,55.57,37.43,36.01,38.85,67.62
Lanarkshire,S08000032,Female,30 to 34,50.46,50.24,50.67,33.33,31.96,34.70,66.05
Lanarkshire,S08000032,Female,35 to 39,45.66,45.45,45.87,29.37,28.05,30.69,64.32
Lanarkshire,S08000032,Female,40 to 44,40.94,40.74,41.14,25.56,24.29,26.83,62.43
Lanarkshire,S08000032,Female,45 to 49,36.35,36.16,36.54,21.94,20.72,23.17,60.37
Lanarkshire,S08000032,Female,50 to 54,31.76,31.57,31.94,18.46,17.29,19.63,58.12
Lanarkshire,S08000032,Female,55 to 59,27.26,27.09,27.44,15.19,14.08,16.31,55.73
Lanarkshire,S08000032,Female,60 to 64,22.90,22.73,23.07,12.20,11.14,13.26,53.26
Lanarkshire,S08000032,Female,65 to 69,18.77,18.61,18.94,9.47,8.46,10.49,50.46
Lanarkshire,S08000032,Female,70 to 74,14.97,14.82,15.12,7.10,6.13,8.07,47.41
Lanarkshire,S08000032,Female,75 to 79,11.53,11.38,11.67,5.10,4.13,6.06,44.21
Lanarkshire,S08000032,Female,80 to 84,8.58,8.45,8.71,3.52,2.58,4.46,41.02
Lanarkshire,S08000032,Female,85 to 89,6.01,5.87,6.15,2.27,1.50,3.03,37.70
Lanarkshire,S08000032,Female,90+,4.21,4.03,4.39,1.45,0.73,2.16,34.40
Lanarkshire,S08000032,Male,<1,75.42,75.14,75.70,58.04,56.47,59.60,76.95
Lanarkshire,S08000032,Male,1 to 4,74.66,74.39,74.92,57.28,55.71,58.85,76.72
Lanarkshire,S08000032,Male,5 to 9,70.68,70.42,70.95,53.53,51.99,55.08,75.74
Lanarkshire,S08000032,Male,10 to 14,65.68,65.42,65.95,48.85,47.34,50.36,74.37
Lanarkshire,S08000032,Male,15 to 19,60.72,60.46,60.98,44.24,42.78,45.70,72.86
Lanarkshire,S08000032,Male,20 to 24,55.94,55.69,56.20,39.83,38.41,41.24,71.19
Lanarkshire,S08000032,Male,25 to 29,51.24,50.99,51.48,35.54,34.17,36.91,69.37
Lanarkshire,S08000032,Male,30 to 34,46.53,46.29,46.77,31.36,30.03,32.68,67.39
Lanarkshire,S08000032,Male,35 to 39,41.96,41.74,42.19,27.38,26.11,28.64,65.24
Lanarkshire,S08000032,Male,40 to 44,37.49,37.27,37.70,23.59,22.36,24.81,62.92
Lanarkshire,S08000032,Male,45 to 49,33.10,32.90,33.30,20.02,18.83,21.20,60.47
Lanarkshire,S08000032,Male,50 to 54,28.80,28.61,28.99,16.67,15.55,17.79,57.88
Lanarkshire,S08000032,Male,55 to 59,24.59,24.41,24.77,13.54,12.46,14.62,55.05
Lanarkshire,S08000032,Male,60 to 64,20.48,20.31,20.66,10.63,9.59,11.67,51.89
Lanarkshire,S08000032,Male,65 to 69,16.71,16.54,16.87,8.05,7.07,9.03,48.20
Lanarkshire,S08000032,Male,70 to 74,13.18,13.03,13.34,5.83,4.87,6.78,44.19
Lanarkshire,S08000032,Male,75 to 79,10.00,9.85,10.15,3.97,3.01,4.93,39.68
Lanarkshire,S08000032,Male,80 to 84,7.49,7.35,7.64,2.58,1.66,3.51,34.47
Lanarkshire,S08000032,Male,85 to 89,5.41,5.25,5.57,1.53,0.79,2.27,28.28
Lanarkshire,S08000032,Male,90+,3.82,3.59,4.06,0.76,0.15,1.37,19.82
Lothian,S08000024,Female,<1,81.90,81.69,82.12,65.06,63.73,66.38,79.43
Lothian,S08000024,Female,1 to 4,81.13,80.92,81.33,64.28,62.95,65.61,79.24
Lothian,S08000024,Female,5 to 9,77.15,76.95,77.36,60.53,59.20,61.85,78.45
Lothian,S08000024,Female,10 to 14,72.18,71.98,72.37,55.81,54.50,57.12,77.33
Lothian,S08000024,Female,15 to 19,67.22,67.02,67.41,51.16,49.87,52.46,76.12
Lothian,S08000024,Female,20 to 24,62.29,62.10,62.49,46.72,45.44,47.99,74.99
Lothian,S08000024,Female,25 to 29,57.36,57.17,57.55,42.33,41.11,43.55,73.80
Lothian,S08000024,Female,30 to 34,52.43,52.24,52.62,37.99,36.81,39.18,72.46
Lothian,S08000024,Female,35 to 39,47.55,47.36,47.74,33.69,32.53,34.86,70.86
Lothian,S08000024,Female,40 to 44,42.76,42.57,42.94,29.60,28.47,30.73,69.24
Lothian,S08000024,Female,45 to 49,38.00,37.82,38.18,25.67,24.56,26.78,67.56
Lothian,S08000024,Female,50 to 54,33.35,33.18,33.53,21.85,20.77,22.93,65.51
Lothian,S08000024,Female,55 to 59,28.82,28.65,28.98,18.23,17.18,19.28,63.27
Lothian,S08000024,Female,60 to 64,24.40,24.24,24.56,14.90,13.88,15.91,61.04
Lothian,S08000024,Female,65 to 69,20.17,20.02,20.33,11.57,10.56,12.58,57.37
Lothian,S08000024,Female,70 to 74,16.15,16.01,16.30,8.46,7.45,9.48,52.39
Lothian,S08000024,Female,75 to 79,12.48,12.34,12.62,5.76,4.73,6.78,46.15
Lothian,S08000024,Female,80 to 84,9.29,9.16,9.42,3.66,2.76,4.55,39.35
Lothian,S08000024,Female,85 to 89,6.55,6.43,6.68,2.30,1.57,3.04,35.13
Lothian,S08000024,Female,90+,4.43,4.27,4.58,1.57,0.88,2.25,35.35
Lothian,S08000024,Male,<1,78.16,77.92,78.39,62.81,61.43,64.19,80.36
Lothian,S08000024,Male,1 to 4,77.44,77.22,77.66,62.18,60.80,63.56,80.30
Lothian,S08000024,Male,5 to 9,73.49,73.27,73.71,58.79,57.44,60.13,79.99
Lothian,S08000024,Male,10 to 14,68.53,68.31,68.75,54.44,53.15,55.73,79.44
Lothian,S08000024,Male,15 to 19,63.57,63.35,63.78,50.01,48.77,51.25,78.67
Lothian,S08000024,Male,20 to 24,58.70,58.49,58.91,45.60,44.41,46.80,77.69
Lothian,S08000024,Male,25 to 29,53.88,53.68,54.09,41.23,40.07,42.39,76.52
Lothian,S08000024,Male,30 to 34,49.03,48.83,49.23,36.81,35.69,37.93,75.08
Lothian,S08000024,Male,35 to 39,44.21,44.01,44.41,32.45,31.34,33.56,73.40
Lothian,S08000024,Male,40 to 44,39.54,39.34,39.73,28.29,27.19,29.38,71.54
Lothian,S08000024,Male,45 to 49,34.94,34.76,35.13,24.27,23.21,25.34,69.46
Lothian,S08000024,Male,50 to 54,30.49,30.30,30.67,20.42,19.38,21.47,67.00
Lothian,S08000024,Male,55 to 59,26.13,25.95,26.30,16.74,15.70,17.78,64.08
Lothian,S08000024,Male,60 to 64,21.93,21.76,22.09,13.39,12.36,14.41,61.05
Lothian,S08000024,Male,65 to 69,18.00,17.84,18.16,10.46,9.45,11.46,58.08
Lothian,S08000024,Male,70 to 74,14.30,14.15,14.45,7.79,6.80,8.79,54.49
Lothian,S08000024,Male,75 to 79,10.89,10.74,11.04,5.44,4.38,6.50,49.98
Lothian,S08000024,Male,80 to 84,8.14,8.00,8.28,3.63,2.56,4.70,44.57
Lothian,S08000024,Male,85 to 89,5.90,5.75,6.05,2.37,1.47,3.27,40.12
Lothian,S08000024,Male,90+,4.14,3.93,4.35,1.64,0.78,2.49,39.54
Orkney,S08000025,Female,<1,83.49,82.09,84.89,77.49,73.93,81.05,92.81
Orkney,S08000025,Female,1 to 4,82.49,81.09,83.89,76.49,72.94,80.05,92.73
Orkney,S08000025,Female,5 to 9,78.49,77.09,79.89,72.49,68.94,76.05,92.36
Orkney,S08000025,Female,10 to 14,73.49,72.09,74.89,67.49,63.94,71.05,91.84
Orkney,S08000025,Female,15 to 19,68.49,67.09,69.89,62.51,58.97,66.05,91.27
Orkney,S08000025,Female,20 to 24,63.49,62.09,64.89,57.57,54.09,61.06,90.68
Orkney,S08000025,Female,25 to 29,59.20,58.05,60.36,53.36,49.96,56.76,90.13
Orkney,S08000025,Female,30 to 34,54.20,53.05,55.36,48.45,45.31,51.59,89.38
Orkney,S08000025,Female,35 to 39,49.34,48.21,50.47,43.71,40.62,46.79,88.58
Orkney,S08000025,Female,40 to 44,44.34,43.21,45.47,38.85,35.82,41.87,87.62
Orkney,S08000025,Female,45 to 49,39.56,38.47,40.66,34.25,31.31,37.18,86.56
Orkney,S08000025,Female,50 to 54,34.88,33.82,35.94,29.76,26.84,32.69,85.33
Orkney,S08000025,Female,55 to 59,30.48,29.47,31.49,25.58,22.65,28.51,83.94
Orkney,S08000025,Female,60 to 64,25.97,25.00,26.95,21.43,18.55,24.31,82.49
Orkney,S08000025,Female,65 to 69,21.37,20.42,22.32,17.21,14.42,20.00,80.52
Orkney,S08000025,Female,70 to 74,17.28,16.37,18.19,13.52,10.80,16.24,78.25
Orkney,S08000025,Female,75 to 79,13.32,12.43,14.22,10.09,7.34,12.83,75.71
Orkney,S08000025,Female,80 to 84,9.89,8.98,10.80,7.24,5.23,9.26,73.22
Orkney,S08000025,Female,85 to 89,7.42,6.42,8.41,5.21,3.31,7.10,70.18
Orkney,S08000025,Female,90+,5.78,4.45,7.11,4.06,1.98,6.13,70.15
Orkney,S08000025,Male,<1,80.12,78.74,81.49,71.24,66.19,76.30,88.92
Orkney,S08000025,Male,1 to 4,79.12,77.74,80.49,70.24,65.19,75.30,88.78
Orkney,S08000025,Male,5 to 9,75.12,73.74,76.49,66.24,61.19,71.30,88.19
Orkney,S08000025,Male,10 to 14,70.12,68.74,71.49,61.28,56.23,66.32,87.39
Orkney,S08000025,Male,15 to 19,65.12,63.74,66.49,56.43,51.43,61.44,86.66
Orkney,S08000025,Male,20 to 24,60.12,58.74,61.49,51.79,46.88,56.70,86.15
Orkney,S08000025,Male,25 to 29,55.44,54.14,56.74,47.08,42.15,52.02,84.92
Orkney,S08000025,Male,30 to 34,50.88,49.67,52.10,42.74,38.33,47.15,84.01
Orkney,S08000025,Male,35 to 39,46.27,45.13,47.41,38.18,33.79,42.57,82.52
Orkney,S08000025,Male,40 to 44,41.65,40.59,42.72,34.00,29.69,38.31,81.62
Orkney,S08000025,Male,45 to 49,36.76,35.72,37.81,29.66,25.93,33.38,80.66
Orkney,S08000025,Male,50 to 54,32.26,31.28,33.24,25.20,21.48,28.93,78.13
Orkney,S08000025,Male,55 to 59,27.66,26.71,28.61,20.60,16.84,24.36,74.47
Orkney,S08000025,Male,60 to 64,23.48,22.58,24.39,16.61,12.81,20.42,70.74
Orkney,S08000025,Male,65 to 69,19.41,18.56,20.26,13.13,9.36,16.91,67.67
Orkney,S08000025,Male,70 to 74,15.72,14.92,16.51,9.88,5.96,13.81,62.89
Orkney,S08000025,Male,75 to 79,12.14,11.39,12.90,7.24,3.21,11.27,59.64
Orkney,S08000025,Male,80 to 84,8.75,8.03,9.48,4.18,0.62,7.75,47.78
Orkney,S08000025,Male,85 to 89,6.06,5.31,6.81,2.75,-0.17,5.66,45.34
Orkney,S08000025,Male,90+,3.69,2.77,4.61,1.20,-1.09,3.48,32.45
Shetland,S08000026,Female,<1,83.21,81.85,84.56,62.50,55.59,69.41,75.11
Shetland,S08000026,Female,1 to 4,82.48,81.23,83.73,61.82,54.90,68.75,74.96
Shetland,S08000026,Female,5 to 9,78.48,77.23,79.73,58.29,51.42,65.15,74.27
Shetland,S08000026,Female,10 to 14,73.48,72.23,74.73,53.84,47.06,60.62,73.28
Shetland,S08000026,Female,15 to 19,68.48,67.23,69.73,49.36,42.67,56.06,72.09
Shetland,S08000026,Female,20 to 24,63.48,62.23,64.73,44.92,38.32,51.53,70.77
Shetland,S08000026,Female,25 to 29,58.48,57.23,59.73,40.50,33.99,47.02,69.26
Shetland,S08000026,Female,30 to 34,53.63,52.41,54.84,36.27,29.96,42.59,67.64
Shetland,S08000026,Female,35 to 39,48.88,47.71,50.05,32.15,26.81,37.49,65.78
Shetland,S08000026,Female,40 to 44,43.88,42.71,45.05,27.93,22.96,32.91,63.66
Shetland,S08000026,Female,45 to 49,39.40,38.30,40.49,24.20,19.55,28.86,61.43
Shetland,S08000026,Female,50 to 54,34.70,33.64,35.77,20.45,15.96,24.94,58.93
Shetland,S08000026,Female,55 to 59,30.23,29.21,31.24,16.98,12.66,21.31,56.19
Shetland,S08000026,Female,60 to 64,25.78,24.81,26.76,13.60,9.35,17.85,52.75
Shetland,S08000026,Female,65 to 69,21.84,20.94,22.75,10.68,6.38,14.98,48.89
Shetland,S08000026,Female,70 to 74,17.31,16.44,18.19,7.68,3.55,11.81,44.35
Shetland,S08000026,Female,75 to 79,13.57,12.74,14.39,5.29,1.04,9.54,38.98
Shetland,S08000026,Female,80 to 84,9.78,8.98,10.57,3.31,-0.93,7.55,33.83
Shetland,S08000026,Female,85 to 89,6.83,6.04,7.61,1.94,-1.45,5.32,28.37
Shetland,S08000026,Female,90+,4.24,3.35,5.14,0.99,-1.74,3.71,23.23
Shetland,S08000026,Male,<1,80.60,79.31,81.88,63.51,56.17,70.85,78.80
Shetland,S08000026,Male,1 to 4,79.60,78.31,80.88,62.54,55.20,69.88,78.57
Shetland,S08000026,Male,5 to 9,75.60,74.31,76.88,58.70,51.41,66.00,77.66
Shetland,S08000026,Male,10 to 14,70.60,69.31,71.88,54.06,46.87,61.25,76.58
Shetland,S08000026,Male,15 to 19,65.60,64.31,66.88,49.66,42.65,56.67,75.70
Shetland,S08000026,Male,20 to 24,60.60,59.31,61.88,45.25,38.43,52.08,74.68
Shetland,S08000026,Male,25 to 29,55.75,54.50,57.00,41.20,34.86,47.54,73.90
Shetland,S08000026,Male,30 to 34,50.88,49.66,52.11,37.25,31.12,43.39,73.21
Shetland,S08000026,Male,35 to 39,46.11,44.92,47.30,33.51,28.06,38.96,72.68
Shetland,S08000026,Male,40 to 44,41.21,40.04,42.39,29.71,24.25,35.17,72.09
Shetland,S08000026,Male,45 to 49,36.67,35.55,37.79,26.30,21.35,31.24,71.71
Shetland,S08000026,Male,50 to 54,31.95,30.86,33.05,22.85,18.18,27.51,71.50
Shetland,S08000026,Male,55 to 59,27.18,26.10,28.26,19.43,14.93,23.93,71.50
Shetland,S08000026,Male,60 to 64,23.24,22.21,24.27,16.75,12.22,21.29,72.08
Shetland,S08000026,Male,65 to 69,19.21,18.22,20.20,13.84,9.29,18.38,72.01
Shetland,S08000026,Male,70 to 74,15.59,14.64,16.55,11.26,6.44,16.08,72.23
Shetland,S08000026,Male,75 to 79,11.92,10.97,12.87,8.87,3.84,13.90,74.43
Shetland,S08000026,Male,80 to 84,9.04,8.06,10.02,6.82,1.81,11.83,75.46
Shetland,S08000026,Male,85 to 89,6.44,5.33,7.55,4.84,0.60,9.07,75.14
Shetland,S08000026,Male,90+,4.67,3.07,6.26,3.37,-1.08,7.81,72.18
Tayside,S08000030,Female,<1,81.53,81.20,81.85,60.97,59.57,62.37,74.79
Tayside,S08000030,Female,1 to 4,80.79,80.49,81.09,60.30,58.90,61.70,74.63
Tayside,S08000030,Female,5 to 9,76.82,76.52,77.12,56.83,55.46,58.21,73.98
Tayside,S08000030,Female,10 to 14,71.89,71.60,72.18,52.51,51.17,53.86,73.05
Tayside,S08000030,Female,15 to 19,66.90,66.61,67.19,48.16,46.86,49.47,71.99
Tayside,S08000030,Female,20 to 24,61.93,61.64,62.22,43.94,42.67,45.20,70.95
Tayside,S08000030,Female,25 to 29,56.98,56.69,57.27,39.80,38.57,41.03,69.85
Tayside,S08000030,Female,30 to 34,52.13,51.85,52.41,35.82,34.64,37.00,68.70
Tayside,S08000030,Female,35 to 39,47.33,47.06,47.61,31.92,30.80,33.04,67.43
Tayside,S08000030,Female,40 to 44,42.65,42.39,42.91,28.20,27.11,29.28,66.11
Tayside,S08000030,Female,45 to 49,38.04,37.79,38.29,24.55,23.51,25.59,64.55
Tayside,S08000030,Female,50 to 54,33.47,33.24,33.71,21.05,20.06,22.04,62.88
Tayside,S08000030,Female,55 to 59,29.00,28.78,29.22,17.71,16.75,18.67,61.07
Tayside,S08000030,Female,60 to 64,24.61,24.39,24.82,14.48,13.55,15.41,58.84
Tayside,S08000030,Female,65 to 69,20.40,20.20,20.60,11.32,10.42,12.21,55.49
Tayside,S08000030,Female,70 to 74,16.38,16.20,16.57,8.35,7.46,9.23,50.94
Tayside,S08000030,Female,75 to 79,12.69,12.51,12.86,5.83,4.93,6.73,45.96
Tayside,S08000030,Female,80 to 84,9.35,9.19,9.52,3.81,3.01,4.62,40.77
Tayside,S08000030,Female,85 to 89,6.65,6.49,6.81,2.44,1.77,3.11,36.63
Tayside,S08000030,Female,90+,4.49,4.30,4.69,1.54,0.92,2.16,34.29
Tayside,S08000030,Male,<1,77.05,76.69,77.42,61.80,60.51,63.09,80.21
Tayside,S08000030,Male,1 to 4,76.45,76.11,76.79,61.23,59.94,62.53,80.10
Tayside,S08000030,Male,5 to 9,72.48,72.15,72.82,57.71,56.45,58.97,79.61
Tayside,S08000030,Male,10 to 14,67.51,67.18,67.85,53.27,52.07,54.48,78.91
Tayside,S08000030,Male,15 to 19,62.52,62.19,62.86,48.80,47.65,49.95,78.05
Tayside,S08000030,Male,20 to 24,57.63,57.30,57.96,44.40,43.31,45.50,77.05
Tayside,S08000030,Male,25 to 29,52.84,52.51,53.16,40.12,39.06,41.18,75.93
Tayside,S08000030,Male,30 to 34,48.11,47.79,48.42,35.93,34.90,36.96,74.68
Tayside,S08000030,Male,35 to 39,43.55,43.25,43.86,31.91,30.92,32.90,73.26
Tayside,S08000030,Male,40 to 44,39.09,38.80,39.37,28.03,27.07,28.99,71.71
Tayside,S08000030,Male,45 to 49,34.81,34.54,35.07,24.38,23.44,25.31,70.03
Tayside,S08000030,Male,50 to 54,30.49,30.25,30.74,20.74,19.84,21.64,68.02
Tayside,S08000030,Male,55 to 59,26.31,26.08,26.54,17.31,16.44,18.18,65.81
Tayside,S08000030,Male,60 to 64,22.11,21.89,22.33,14.07,13.23,14.90,63.61
Tayside,S08000030,Male,65 to 69,18.15,17.94,18.36,11.11,10.30,11.93,61.23
Tayside,S08000030,Male,70 to 74,14.50,14.31,14.69,8.43,7.63,9.23,58.14
Tayside,S08000030,Male,75 to 79,11.14,10.95,11.33,6.08,5.24,6.92,54.56
Tayside,S08000030,Male,80 to 84,8.28,8.10,8.46,4.20,3.38,5.02,50.76
Tayside,S08000030,Male,85 to 89,5.93,5.74,6.12,2.76,2.07,3.46,46.58
Tayside,S08000030,Male,90+,4.13,3.86,4.39,1.85,1.20,2.51,44.90
Western Isles,S08000028,Female,<1,83.03,81.86,84.21,67.52,63.76,71.29,81.32
Western Isles,S08000028,Female,1 to 4,82.30,81.25,83.36,66.88,63.11,70.66,81.26
Western Isles,S08000028,Female,5 to 9,78.30,77.25,79.36,63.42,59.72,67.12,80.99
Western Isles,S08000028,Female,10 to 14,73.30,72.25,74.36,59.07,55.48,62.66,80.58
Western Isles,S08000028,Female,15 to 19,68.30,67.25,69.36,54.69,51.21,58.17,80.07
Western Isles,S08000028,Female,20 to 24,63.47,62.47,64.47,50.45,47.07,53.83,79.48
Western Isles,S08000028,Female,25 to 29,58.47,57.47,59.47,46.08,42.95,49.20,78.80
Western Isles,S08000028,Female,30 to 34,53.47,52.47,54.47,41.72,38.89,44.54,78.01
Western Isles,S08000028,Female,35 to 39,48.60,47.63,49.57,37.49,35.01,39.97,77.13
Western Isles,S08000028,Female,40 to 44,44.03,43.14,44.91,33.53,31.29,35.77,76.15
Western Isles,S08000028,Female,45 to 49,39.03,38.14,39.91,29.29,27.28,31.31,75.06
Western Isles,S08000028,Female,50 to 54,34.37,33.52,35.21,25.37,23.44,27.31,73.83
Western Isles,S08000028,Female,55 to 59,30.02,29.24,30.80,21.77,19.90,23.63,72.50
Western Isles,S08000028,Female,60 to 64,25.42,24.67,26.16,18.05,16.26,19.84,71.02
Western Isles,S08000028,Female,65 to 69,21.06,20.36,21.76,14.61,12.87,16.35,69.37
Western Isles,S08000028,Female,70 to 74,16.89,16.24,17.54,11.41,9.73,13.08,67.55
Western Isles,S08000028,Female,75 to 79,12.86,12.25,13.47,8.42,6.75,10.09,65.45
Western Isles,S08000028,Female,80 to 84,9.62,9.07,10.18,6.09,4.40,7.78,63.25
Western Isles,S08000028,Female,85 to 89,6.47,5.95,6.99,3.93,2.55,5.32,60.81
Western Isles,S08000028,Female,90+,4.00,3.40,4.60,2.31,1.11,3.50,57.72
Western Isles,S08000028,Male,<1,78.58,77.34,79.82,68.33,65.24,71.43,86.96
Western Isles,S08000028,Male,1 to 4,77.58,76.34,78.82,67.33,64.24,70.43,86.80
Western Isles,S08000028,Male,5 to 9,73.58,72.34,74.82,63.33,60.24,66.43,86.08
Western Isles,S08000028,Male,10 to 14,68.58,67.34,69.82,58.33,55.24,61.43,85.06
Western Isles,S08000028,Male,15 to 19,63.58,62.34,64.82,53.40,50.32,56.48,83.99
Western Isles,S08000028,Male,20 to 24,58.74,57.54,59.94,48.72,45.68,51.77,82.95
Western Isles,S08000028,Male,25 to 29,53.89,52.73,55.06,44.15,41.25,47.06,81.93
Western Isles,S08000028,Male,30 to 34,49.05,47.92,50.18,39.69,36.99,42.40,80.93
Western Isles,S08000028,Male,35 to 39,44.17,43.06,45.28,35.32,32.72,37.91,79.96
Western Isles,S08000028,Male,40 to 44,39.70,38.68,40.72,31.38,28.96,33.80,79.04
Western Isles,S08000028,Male,45 to 49,35.04,34.06,36.01,27.38,25.07,29.68,78.14
Western Isles,S08000028,Male,50 to 54,30.50,29.56,31.43,23.56,21.36,25.77,77.27
Western Isles,S08000028,Male,55 to 59,26.27,25.38,27.15,20.06,17.87,22.25,76.38
Western Isles,S08000028,Male,60 to 64,22.12,21.28,22.97,16.72,14.57,18.87,75.56
Western Isles,S08000028,Male,65 to 69,17.88,17.05,18.70,13.35,11.19,15.51,74.70
Western Isles,S08000028,Male,70 to 74,14.42,13.63,15.22,10.66,8.45,12.87,73.89
Western Isles,S08000028,Male,75 to 79,11.62,10.81,12.42,8.51,6.01,11.00,73.22
Western Isles,S08000028,Male,80 to 84,8.73,7.90,9.56,6.30,3.53,9.08,72.24
Western Isles,S08000028,Male,85 to 89,6.66,5.67,7.65,4.74,2.22,7.26,71.20
Western Isles,S08000028,Male,90+,5.81,4.31,7.31,4.07,0.94,7.20,70.02
,,,,,,,,,,
Footnotes,,,,,,,,,,
1) HLE estimates are based on the five point response general health question in the annual population survey (APS). Those answered as in 'good' or 'very good' health were classified as being in health.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
© Crown Copyright 2022,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
