"Table 5. Life expectancy and healthy life expectancy in deprivation deciles, 2016-2018",,,,,,,,,
,,,,,,,,,
SIMD decile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
9,Male,45 to 49,37.64,37.42,37.86,28.83,27.81,29.86,76.60
9,Male,50 to 54,32.88,32.67,33.10,24.46,23.45,25.47,74.39
9,Male,55 to 59,28.26,28.05,28.47,20.30,19.30,21.30,71.82
9,Male,60 to 64,23.75,23.55,23.96,16.36,15.38,17.34,68.87
9,Male,65 to 69,19.44,19.24,19.64,12.76,11.79,13.73,65.65
9,Male,70 to 74,15.44,15.25,15.63,9.48,8.51,10.46,61.42
9,Male,75 to 79,11.71,11.52,11.89,6.59,5.60,7.58,56.25
9,Male,80 to 84,8.61,8.43,8.79,4.35,3.46,5.25,50.58
9,Male,85 to 89,6.14,5.95,6.34,2.80,2.04,3.55,45.52
9,Male,90+,4.28,4.01,4.55,1.77,1.05,2.48,41.28
10,Female,less than 1,85.45,85.20,85.69,72.47,71.06,73.88,84.81
10,Female,1 to 4,84.56,84.33,84.80,71.57,70.16,72.98,84.64
10,Female,5 to 9,80.59,80.36,80.83,67.64,66.24,69.04,83.93
10,Female,10 to 14,75.63,75.40,75.86,62.76,61.38,64.14,82.98
10,Female,15 to 19,70.68,70.46,70.91,57.94,56.59,59.30,81.98
10,Female,20 to 24,65.74,65.52,65.96,53.25,51.96,54.55,81.00
10,Female,25 to 29,60.78,60.56,61.00,48.61,47.38,49.85,79.99
10,Female,30 to 34,55.80,55.58,56.02,43.99,42.78,45.20,78.83
10,Female,35 to 39,50.85,50.63,51.07,39.39,38.23,40.56,77.46
10,Female,40 to 44,45.97,45.75,46.18,34.89,33.74,36.03,75.90
10,Female,45 to 49,41.08,40.87,41.29,30.45,29.33,31.58,74.13
10,Female,50 to 54,36.29,36.08,36.50,26.12,25.02,27.23,71.99
10,Female,55 to 59,31.55,31.35,31.76,21.91,20.83,22.99,69.45
10,Female,60 to 64,26.91,26.72,27.11,17.88,16.81,18.94,66.43
10,Female,65 to 69,22.37,22.18,22.56,13.95,12.90,15.00,62.37
10,Female,70 to 74,17.99,17.81,18.18,10.27,9.22,11.32,57.06
10,Female,75 to 79,13.82,13.65,13.99,6.97,5.94,8.00,50.43
10,Female,80 to 84,10.15,9.99,10.32,4.34,3.42,5.26,42.76
10,Female,85 to 89,7.01,6.84,7.17,2.53,1.79,3.28,36.12
10,Female,90+,4.65,4.45,4.85,1.49,0.82,2.16,31.98
10,Male,less than 1,82.68,82.41,82.95,71.27,69.93,72.62,86.21
10,Male,1 to 4,81.87,81.62,82.13,70.48,69.13,71.82,86.08
10,Male,5 to 9,77.90,77.65,78.15,66.63,65.29,67.96,85.53
10,Male,10 to 14,72.95,72.70,73.20,61.84,60.53,63.15,84.77
10,Male,15 to 19,67.98,67.73,68.23,57.06,55.78,58.34,83.94
10,Male,20 to 24,63.03,62.78,63.27,52.33,51.09,53.58,83.03
10,Male,25 to 29,58.13,57.89,58.37,47.70,46.47,48.93,82.06
10,Male,30 to 34,53.29,53.05,53.53,43.15,41.94,44.36,80.98
10,Male,35 to 39,48.40,48.16,48.63,38.60,37.44,39.76,79.75
10,Male,40 to 44,43.52,43.29,43.75,34.09,32.95,35.22,78.33
10,Male,45 to 49,38.74,38.52,38.96,29.73,28.63,30.84,76.75
10,Male,50 to 54,33.96,33.74,34.18,25.44,24.35,26.52,74.90
10,Male,55 to 59,29.26,29.05,29.48,21.30,20.25,22.36,72.80
10,Male,60 to 64,24.67,24.46,24.88,17.37,16.33,18.40,70.39
10,Male,65 to 69,20.34,20.14,20.54,13.76,12.75,14.78,67.68
10,Male,70 to 74,16.21,16.02,16.41,10.46,9.45,11.48,64.55
10,Male,75 to 79,12.39,12.20,12.58,7.52,6.48,8.56,60.68
10,Male,80 to 84,9.01,8.83,9.20,5.08,4.08,6.08,56.37
10,Male,85 to 89,6.24,6.04,6.43,3.26,2.42,4.09,52.25
10,Male,90+,4.22,3.96,4.47,2.13,1.35,2.90,50.40
,,,,,,,,,
© Crown copyright 2019,,,,,,,,,
