"Table 3. Life expectancy and healthy life expectancy in NHS health boards, 2016-2018",,,,,,,,,,
,,,,,,,,,,
Area code,Health board,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,Healthy Life Expectancy (HLE) (years),HLE lower confidence interval,HLE upper confidence interval,"Proportion of Life Spent in ""Good"" Health (%)"
S08000025,Orkney,Female,1 to 4,81.07,79.73,82.41,72.32,68.14,76.49,89.20
S08000025,Orkney,Female,5 to 9,77.07,75.73,78.41,68.32,64.14,72.49,88.64
S08000025,Orkney,Female,10 to 14,72.07,70.73,73.41,63.32,59.14,67.49,87.85
S08000025,Orkney,Female,15 to 19,67.07,65.73,68.41,58.32,54.14,62.49,86.95
S08000025,Orkney,Female,20 to 24,62.07,60.73,63.41,53.37,49.26,57.48,85.98
S08000025,Orkney,Female,25 to 29,57.47,56.25,58.70,48.79,44.74,52.84,84.90
S08000025,Orkney,Female,30 to 34,52.78,51.62,53.94,44.29,40.50,48.08,83.91
S08000025,Orkney,Female,35 to 39,47.91,46.79,49.04,39.72,36.00,43.44,82.89
S08000025,Orkney,Female,40 to 44,43.04,41.93,44.14,35.27,31.72,38.81,81.94
S08000025,Orkney,Female,45 to 49,38.35,37.30,39.41,31.05,27.56,34.55,80.96
S08000025,Orkney,Female,50 to 54,33.73,32.71,34.74,27.00,23.57,30.43,80.06
S08000025,Orkney,Female,55 to 59,29.48,28.53,30.44,23.35,19.95,26.75,79.19
S08000025,Orkney,Female,60 to 64,25.05,24.14,25.95,19.60,16.22,22.98,78.26
S08000025,Orkney,Female,65 to 69,20.54,19.67,21.41,15.96,12.67,19.25,77.69
S08000025,Orkney,Female,70 to 74,16.47,15.64,17.29,12.72,9.37,16.06,77.23
S08000025,Orkney,Female,75 to 79,12.68,11.89,13.48,9.74,6.22,13.27,76.81
S08000025,Orkney,Female,80 to 84,9.48,8.71,10.25,7.21,4.46,9.96,76.04
S08000025,Orkney,Female,85 to 89,6.62,5.84,7.39,5.00,2.71,7.29,75.53
S08000025,Orkney,Female,90+,4.58,3.60,5.55,3.27,0.92,5.61,71.35
S08000025,Orkney,Male,less than 1,79.09,77.58,80.59,66.68,62.61,70.74,84.31
S08000025,Orkney,Male,1 to 4,78.09,76.58,79.59,65.68,61.61,69.74,84.11
S08000025,Orkney,Male,5 to 9,74.09,72.58,75.59,61.71,57.65,65.76,83.29
S08000025,Orkney,Male,10 to 14,69.09,67.58,70.59,56.74,52.71,60.78,82.13
S08000025,Orkney,Male,15 to 19,64.28,62.81,65.74,51.98,47.97,55.99,80.87
S08000025,Orkney,Male,20 to 24,59.28,57.81,60.74,47.17,43.25,51.09,79.57
S08000025,Orkney,Male,25 to 29,54.60,53.19,56.00,42.45,38.52,46.38,77.74
S08000025,Orkney,Male,30 to 34,50.17,48.87,51.47,38.09,34.64,41.55,75.93
S08000025,Orkney,Male,35 to 39,45.88,44.71,47.04,33.79,30.41,37.18,73.66
S08000025,Orkney,Male,40 to 44,41.14,40.02,42.25,29.44,26.30,32.57,71.56
S08000025,Orkney,Male,45 to 49,36.47,35.41,37.53,25.25,22.26,28.25,69.25
S08000025,Orkney,Male,50 to 54,31.77,30.74,32.79,20.94,18.03,23.84,65.91
S08000025,Orkney,Male,55 to 59,27.47,26.49,28.45,16.97,14.09,19.85,61.77
S08000025,Orkney,Male,60 to 64,23.43,22.50,24.35,13.45,10.56,16.33,57.40
S08000025,Orkney,Male,65 to 69,19.47,18.60,20.33,10.35,7.50,13.21,53.19
S08000025,Orkney,Male,70 to 74,15.51,14.69,16.33,7.41,4.59,10.24,47.80
S08000025,Orkney,Male,75 to 79,11.66,10.86,12.46,4.99,2.24,7.75,42.82
S08000025,Orkney,Male,80 to 84,9.13,8.36,9.91,3.01,0.39,5.62,32.93
S08000025,Orkney,Male,85 to 89,6.12,5.36,6.89,1.69,-0.31,3.70,27.67
S08000025,Orkney,Male,90+,3.54,2.64,4.45,0.55,-0.71,1.80,15.40
S08000026,Shetland,Female,less than 1,83.37,82.27,84.47,58.36,51.37,65.35,70.00
S08000026,Shetland,Female,1 to 4,82.37,81.27,83.47,57.62,50.65,64.60,69.96
S08000026,Shetland,Female,5 to 9,78.37,77.27,79.47,54.67,47.89,61.45,69.75
S08000026,Shetland,Female,10 to 14,73.37,72.27,74.47,50.94,44.48,57.41,69.43
S08000026,Shetland,Female,15 to 19,68.37,67.27,69.47,47.19,41.06,53.33,69.03
S08000026,Shetland,Female,20 to 24,63.37,62.27,64.47,43.44,37.66,49.23,68.55
S08000026,Shetland,Female,25 to 29,58.37,57.27,59.47,39.69,34.03,45.34,67.99
S08000026,Shetland,Female,30 to 34,53.51,52.45,54.58,36.05,31.25,40.85,67.36
S08000026,Shetland,Female,35 to 39,48.64,47.60,49.68,32.41,27.93,36.90,66.64
S08000026,Shetland,Female,40 to 44,43.76,42.74,44.77,28.80,24.57,33.03,65.81
S08000026,Shetland,Female,45 to 49,39.05,38.08,40.02,25.35,21.31,29.39,64.92
S08000026,Shetland,Female,50 to 54,34.12,33.16,35.08,21.81,18.30,25.32,63.92
S08000026,Shetland,Female,55 to 59,29.49,28.56,30.42,18.52,15.22,21.82,62.81
S08000026,Shetland,Female,60 to 64,25.31,24.46,26.16,15.56,12.30,18.82,61.50
S08000026,Shetland,Female,65 to 69,20.86,20.06,21.67,12.53,9.37,15.69,60.05
S08000026,Shetland,Female,70 to 74,16.18,15.39,16.96,9.44,6.46,12.42,58.35
S08000026,Shetland,Female,75 to 79,12.16,11.43,12.90,6.85,3.90,9.80,56.34
S08000026,Shetland,Female,80 to 84,8.59,7.91,9.27,4.66,2.03,7.28,54.23
S08000026,Shetland,Female,85 to 89,5.93,5.28,6.58,3.07,0.91,5.24,51.85
S08000026,Shetland,Female,90+,3.71,2.97,4.45,1.82,-0.01,3.66,49.17
S08000026,Shetland,Male,less than 1,79.48,78.16,80.80,67.49,62.03,72.96,84.92
S08000026,Shetland,Male,1 to 4,78.69,77.43,79.95,66.67,61.19,72.15,84.73
S08000026,Shetland,Male,5 to 9,74.69,73.43,75.95,62.67,57.19,68.15,83.91
S08000026,Shetland,Male,10 to 14,69.69,68.43,70.95,57.68,52.20,63.16,82.77
S08000026,Shetland,Male,15 to 19,64.69,63.43,65.95,52.74,47.28,58.20,81.53
S08000026,Shetland,Male,20 to 24,59.85,58.62,61.08,48.07,42.66,53.49,80.32
S08000026,Shetland,Male,25 to 29,55.27,54.14,56.41,43.67,38.32,49.02,79.00
S08000026,Shetland,Male,30 to 34,50.40,49.29,51.51,39.13,33.86,44.40,77.64
S08000026,Shetland,Male,35 to 39,45.63,44.56,46.70,34.77,29.86,39.67,76.18
S08000026,Shetland,Male,40 to 44,40.74,39.68,41.79,30.44,26.69,34.19,74.72
S08000026,Shetland,Male,45 to 49,35.99,34.97,37.01,26.32,22.65,30.00,73.14
S08000026,Shetland,Male,50 to 54,31.06,30.04,32.07,22.19,18.74,25.65,71.46
S08000026,Shetland,Male,55 to 59,26.58,25.60,27.56,18.50,15.17,21.84,69.62
S08000026,Shetland,Male,60 to 64,22.70,21.79,23.61,15.33,11.99,18.66,67.53
S08000026,Shetland,Male,65 to 69,18.33,17.45,19.21,12.03,8.90,15.15,65.62
S08000026,Shetland,Male,70 to 74,14.63,13.79,15.47,9.29,6.04,12.54,63.50
S08000026,Shetland,Male,75 to 79,11.01,10.19,11.82,6.65,3.19,10.11,60.45
S08000026,Shetland,Male,80 to 84,8.31,7.53,9.10,4.80,1.10,8.49,57.71
S08000026,Shetland,Male,85 to 89,5.47,4.67,6.26,3.02,0.10,5.94,55.22
S08000026,Shetland,Male,90+,3.48,2.40,4.55,1.85,-0.62,4.32,53.21
S08000028,Western Isles,Female,less than 1,82.75,81.64,83.86,66.91,63.85,69.98,80.86
S08000028,Western Isles,Female,1 to 4,81.75,80.64,82.86,66.06,63.00,69.12,80.81
S08000028,Western Isles,Female,5 to 9,77.75,76.64,78.86,62.61,59.64,65.59,80.53
S08000028,Western Isles,Female,10 to 14,72.75,71.64,73.86,58.23,55.38,61.08,80.04
S08000028,Western Isles,Female,15 to 19,67.75,66.64,68.86,53.76,51.03,56.49,79.35
S08000028,Western Isles,Female,20 to 24,62.92,61.86,63.99,49.39,46.77,52.02,78.50
S08000028,Western Isles,Female,25 to 29,57.92,56.86,58.99,44.87,42.42,47.33,77.48
S08000028,Western Isles,Female,30 to 34,53.08,52.06,54.10,40.47,38.26,42.67,76.24
S08000028,Western Isles,Female,35 to 39,48.21,47.22,49.20,36.07,34.14,37.99,74.81
S08000028,Western Isles,Female,40 to 44,43.41,42.45,44.37,31.77,29.99,33.54,73.18
S08000028,Western Isles,Female,45 to 49,38.58,37.65,39.51,27.50,25.85,29.16,71.29
S08000028,Western Isles,Female,50 to 54,33.89,32.99,34.79,23.42,21.85,25.00,69.12
S08000028,Western Isles,Female,55 to 59,29.49,28.64,30.34,19.68,18.19,21.18,66.74
S08000028,Western Isles,Female,60 to 64,25.21,24.42,26.01,16.14,14.71,17.58,64.03
S08000028,Western Isles,Female,65 to 69,21.02,20.28,21.76,12.81,11.45,14.17,60.94
S08000028,Western Isles,Female,70 to 74,17.15,16.47,17.84,9.87,8.53,11.20,57.54
S08000028,Western Isles,Female,75 to 79,13.27,12.63,13.90,7.11,5.80,8.42,53.57
S08000028,Western Isles,Female,80 to 84,9.66,9.06,10.25,4.78,3.59,5.98,49.54
S08000028,Western Isles,Female,85 to 89,6.60,6.02,7.18,2.98,2.00,3.95,45.11
S08000028,Western Isles,Female,90+,4.48,3.78,5.18,1.78,0.88,2.69,39.80
S08000028,Western Isles,Male,less than 1,77.44,76.08,78.81,66.07,63.67,68.46,85.31
S08000028,Western Isles,Male,1 to 4,76.44,75.08,77.81,65.07,62.67,67.47,85.12
S08000028,Western Isles,Male,5 to 9,72.64,71.32,73.95,61.23,58.82,63.64,84.30
S08000028,Western Isles,Male,10 to 14,67.64,66.32,68.95,56.24,53.84,58.65,83.16
S08000028,Western Isles,Male,15 to 19,62.64,61.32,63.95,51.27,48.87,53.67,81.85
S08000028,Western Isles,Male,20 to 24,57.95,56.70,59.20,46.64,44.26,49.02,80.49
S08000028,Western Isles,Male,25 to 29,53.24,52.05,54.43,42.04,39.82,44.26,78.96
S08000028,Western Isles,Male,30 to 34,48.52,47.40,49.65,37.51,35.43,39.59,77.30
S08000028,Western Isles,Male,35 to 39,43.89,42.83,44.95,33.15,31.22,35.08,75.54
S08000028,Western Isles,Male,40 to 44,39.40,38.43,40.37,29.05,27.32,30.78,73.73
S08000028,Western Isles,Male,45 to 49,34.79,33.88,35.71,24.98,23.35,26.60,71.78
S08000028,Western Isles,Male,50 to 54,30.16,29.28,31.05,21.03,19.52,22.55,69.73
S08000028,Western Isles,Male,55 to 59,25.88,25.04,26.72,17.43,16.00,18.86,67.36
S08000028,Western Isles,Male,60 to 64,21.59,20.79,22.39,14.04,12.76,15.31,65.01
S08000028,Western Isles,Male,65 to 69,17.48,16.72,18.24,10.87,9.68,12.07,62.19
S08000028,Western Isles,Male,70 to 74,14.04,13.31,14.77,8.33,7.15,9.51,59.33
S08000028,Western Isles,Male,75 to 79,11.10,10.39,11.81,6.31,5.15,7.47,56.83
S08000028,Western Isles,Male,80 to 84,8.16,7.45,8.87,4.28,3.22,5.35,52.49
S08000028,Western Isles,Male,85 to 89,5.76,4.97,6.55,2.73,1.85,3.61,47.35
S08000028,Western Isles,Male,90+,4.72,3.46,5.98,1.91,0.93,2.89,40.42
S08000029,Fife,Female,less than 1,81.00,80.66,81.34,60.16,57.98,62.34,74.27
S08000029,Fife,Female,1 to 4,80.37,80.06,80.68,59.53,57.34,61.72,74.07
S08000029,Fife,Female,5 to 9,76.38,76.07,76.69,55.93,53.78,58.09,73.23
S08000029,Fife,Female,10 to 14,71.40,71.09,71.70,51.49,49.40,53.57,72.11
S08000029,Fife,Female,15 to 19,66.43,66.12,66.74,47.09,45.07,49.10,70.88
S08000029,Fife,Female,20 to 24,61.49,61.19,61.80,42.84,40.91,44.76,69.66
S08000029,Fife,Female,25 to 29,56.61,56.31,56.90,38.75,36.93,40.56,68.45
S08000029,Fife,Female,30 to 34,51.72,51.43,52.01,34.75,33.00,36.49,67.18
S08000029,Fife,Female,35 to 39,46.88,46.60,47.17,30.79,29.10,32.47,65.66
S08000029,Fife,Female,40 to 44,42.22,41.95,42.49,27.06,25.43,28.69,64.09
S08000029,Fife,Female,45 to 49,37.52,37.25,37.78,23.42,21.87,24.97,62.43
S08000029,Fife,Female,50 to 54,32.93,32.68,33.18,19.94,18.47,21.41,60.56
S08000029,Fife,Female,55 to 59,28.42,28.18,28.66,16.73,15.31,18.15,58.86
S08000029,Fife,Female,60 to 64,24.11,23.88,24.34,13.74,12.36,15.12,56.99
S08000029,Fife,Female,65 to 69,19.89,19.67,20.11,10.82,9.50,12.15,54.42
S08000029,Fife,Female,70 to 74,15.93,15.72,16.14,8.13,6.82,9.44,51.05
S08000029,Fife,Female,75 to 79,12.27,12.07,12.46,5.75,4.43,7.07,46.88
S08000029,Fife,Female,80 to 84,9.10,8.92,9.29,3.89,2.55,5.24,42.78
S08000029,Fife,Female,85 to 89,6.48,6.29,6.66,2.61,1.48,3.74,40.32
S08000029,Fife,Female,90+,4.39,4.16,4.61,1.79,0.73,2.85,40.82
S08000029,Fife,Male,less than 1,77.23,76.86,77.60,60.97,59.00,62.94,78.95
S08000029,Fife,Male,1 to 4,76.61,76.26,76.95,60.32,58.34,62.30,78.74
S08000029,Fife,Male,5 to 9,72.69,72.35,73.03,56.63,54.68,58.59,77.91
S08000029,Fife,Male,10 to 14,67.73,67.40,68.07,52.02,50.12,53.93,76.80
S08000029,Fife,Male,15 to 19,62.79,62.45,63.12,47.48,45.64,49.32,75.62
S08000029,Fife,Male,20 to 24,57.90,57.57,58.23,43.06,41.28,44.83,74.36
S08000029,Fife,Male,25 to 29,53.02,52.69,53.34,38.71,37.00,40.43,73.02
S08000029,Fife,Male,30 to 34,48.25,47.94,48.57,34.55,32.93,36.17,71.60
S08000029,Fife,Male,35 to 39,43.63,43.33,43.93,30.59,29.05,32.13,70.10
S08000029,Fife,Male,40 to 44,39.02,38.74,39.31,26.73,25.25,28.22,68.51
S08000029,Fife,Male,45 to 49,34.52,34.25,34.79,23.05,21.63,24.46,66.77
S08000029,Fife,Male,50 to 54,30.09,29.83,30.35,19.52,18.18,20.86,64.89
S08000029,Fife,Male,55 to 59,25.76,25.51,26.01,16.21,14.94,17.48,62.92
S08000029,Fife,Male,60 to 64,21.53,21.29,21.76,13.12,11.91,14.32,60.93
S08000029,Fife,Male,65 to 69,17.62,17.39,17.84,10.36,9.21,11.50,58.79
S08000029,Fife,Male,70 to 74,14.12,13.91,14.33,7.97,6.84,9.10,56.44
S08000029,Fife,Male,75 to 79,10.76,10.56,10.96,5.79,4.65,6.92,53.79
S08000029,Fife,Male,80 to 84,7.89,7.69,8.08,4.01,2.92,5.10,50.80
S08000029,Fife,Male,85 to 89,5.73,5.52,5.95,2.76,1.83,3.69,48.14
S08000029,Fife,Male,90+,4.01,3.72,4.31,1.83,0.95,2.70,45.51
S08000030,Tayside,Female,less than 1,81.28,80.95,81.62,63.27,62.03,64.51,77.84
S08000030,Tayside,Female,1 to 4,80.69,80.39,80.99,62.67,61.43,63.91,77.67
S08000030,Tayside,Female,5 to 9,76.77,76.47,77.06,59.07,57.84,60.29,76.94
S08000030,Tayside,Female,10 to 14,71.78,71.49,72.07,54.51,53.31,55.71,75.94
S08000030,Tayside,Female,15 to 19,66.81,66.52,67.11,50.01,48.85,51.18,74.86
S08000030,Tayside,Female,20 to 24,61.89,61.60,62.18,45.63,44.50,46.76,73.72
S08000030,Tayside,Female,25 to 29,56.97,56.68,57.25,41.32,40.22,42.42,72.53
S08000030,Tayside,Female,30 to 34,52.07,51.79,52.35,37.11,36.05,38.17,71.26
S08000030,Tayside,Female,35 to 39,47.25,46.98,47.52,33.02,32.01,34.04,69.89
S08000030,Tayside,Female,40 to 44,42.54,42.28,42.80,29.12,28.14,30.10,68.45
S08000030,Tayside,Female,45 to 49,37.87,37.62,38.12,25.32,24.38,26.26,66.87
S08000030,Tayside,Female,50 to 54,33.27,33.03,33.51,21.69,20.77,22.60,65.18
S08000030,Tayside,Female,55 to 59,28.78,28.55,29.01,18.24,17.36,19.12,63.38
S08000030,Tayside,Female,60 to 64,24.46,24.24,24.68,15.01,14.16,15.85,61.35
S08000030,Tayside,Female,65 to 69,20.31,20.11,20.51,11.95,11.14,12.77,58.84
S08000030,Tayside,Female,70 to 74,16.36,16.17,16.55,9.13,8.33,9.93,55.81
S08000030,Tayside,Female,75 to 79,12.67,12.49,12.85,6.65,5.85,7.45,52.50
S08000030,Tayside,Female,80 to 84,9.42,9.25,9.59,4.61,3.84,5.38,48.96
S08000030,Tayside,Female,85 to 89,6.69,6.52,6.86,3.05,2.40,3.70,45.57
S08000030,Tayside,Female,90+,4.69,4.47,4.90,1.99,1.36,2.62,42.50
S08000030,Tayside,Male,less than 1,77.10,76.73,77.47,61.65,60.48,62.83,79.97
S08000030,Tayside,Male,1 to 4,76.50,76.16,76.84,61.06,59.88,62.24,79.82
S08000030,Tayside,Male,5 to 9,72.56,72.22,72.90,57.45,56.29,58.61,79.18
S08000030,Tayside,Male,10 to 14,67.57,67.23,67.91,52.95,51.82,54.07,78.36
S08000030,Tayside,Male,15 to 19,62.58,62.24,62.92,48.46,47.37,49.54,77.44
S08000030,Tayside,Male,20 to 24,57.69,57.36,58.02,44.10,43.06,45.14,76.44
S08000030,Tayside,Male,25 to 29,52.86,52.54,53.19,39.86,38.84,40.87,75.40
S08000030,Tayside,Male,30 to 34,48.17,47.85,48.49,35.79,34.82,36.77,74.30
S08000030,Tayside,Male,35 to 39,43.66,43.36,43.97,31.92,30.99,32.86,73.11
S08000030,Tayside,Male,40 to 44,39.20,38.92,39.49,28.17,27.28,29.06,71.86
S08000030,Tayside,Male,45 to 49,34.93,34.67,35.20,24.65,23.80,25.50,70.57
S08000030,Tayside,Male,50 to 54,30.59,30.35,30.84,21.09,20.28,21.90,68.94
S08000030,Tayside,Male,55 to 59,26.31,26.08,26.55,17.68,16.90,18.46,67.18
S08000030,Tayside,Male,60 to 64,22.16,21.94,22.38,14.55,13.80,15.29,65.64
S08000030,Tayside,Male,65 to 69,18.25,18.04,18.46,11.68,10.96,12.40,64.02
S08000030,Tayside,Male,70 to 74,14.59,14.39,14.78,8.98,8.27,9.69,61.58
S08000030,Tayside,Male,75 to 79,11.24,11.05,11.44,6.60,5.88,7.33,58.72
S08000030,Tayside,Male,80 to 84,8.32,8.14,8.51,4.65,3.96,5.34,55.89
S08000030,Tayside,Male,85 to 89,5.96,5.76,6.15,3.15,2.57,3.74,52.95
S08000030,Tayside,Male,90+,4.03,3.77,4.30,2.20,1.66,2.74,54.61
S08000031,Greater Glasgow and Clyde,Female,less than 1,79.98,79.79,80.18,60.74,59.60,61.87,75.94
S08000031,Greater Glasgow and Clyde,Female,1 to 4,79.28,79.10,79.46,60.00,58.87,61.14,75.69
S08000031,Greater Glasgow and Clyde,Female,5 to 9,75.33,75.15,75.51,56.23,55.11,57.35,74.65
S08000031,Greater Glasgow and Clyde,Female,10 to 14,70.36,70.19,70.54,51.55,50.45,52.65,73.26
S08000031,Greater Glasgow and Clyde,Female,15 to 19,65.40,65.22,65.57,46.94,45.87,48.02,71.78
S08000031,Greater Glasgow and Clyde,Female,20 to 24,60.45,60.27,60.62,42.43,41.39,43.47,70.20
S08000031,Greater Glasgow and Clyde,Female,25 to 29,55.52,55.35,55.69,38.04,37.02,39.06,68.52
S08000031,Greater Glasgow and Clyde,Female,30 to 34,50.61,50.44,50.78,33.77,32.78,34.77,66.73
S08000031,Greater Glasgow and Clyde,Female,35 to 39,45.75,45.59,45.92,29.66,28.70,30.63,64.83
S08000031,Greater Glasgow and Clyde,Female,40 to 44,41.03,40.87,41.19,25.77,24.83,26.71,62.82
S08000031,Greater Glasgow and Clyde,Female,45 to 49,36.43,36.28,36.59,22.11,21.21,23.01,60.68
S08000031,Greater Glasgow and Clyde,Female,50 to 54,31.88,31.72,32.03,18.62,17.75,19.50,58.42
S08000031,Greater Glasgow and Clyde,Female,55 to 59,27.46,27.31,27.60,15.38,14.53,16.23,56.01
S08000031,Greater Glasgow and Clyde,Female,60 to 64,23.14,23.00,23.28,12.36,11.54,13.19,53.44
S08000031,Greater Glasgow and Clyde,Female,65 to 69,19.08,18.95,19.21,9.67,8.86,10.47,50.68
S08000031,Greater Glasgow and Clyde,Female,70 to 74,15.30,15.18,15.42,7.30,6.50,8.10,47.69
S08000031,Greater Glasgow and Clyde,Female,75 to 79,11.90,11.79,12.02,5.29,4.46,6.12,44.44
S08000031,Greater Glasgow and Clyde,Female,80 to 84,8.96,8.86,9.07,3.66,2.93,4.40,40.88
S08000031,Greater Glasgow and Clyde,Female,85 to 89,6.45,6.33,6.56,2.38,1.76,2.99,36.91
S08000031,Greater Glasgow and Clyde,Female,90+,4.59,4.44,4.73,1.48,0.89,2.07,32.27
S08000031,Greater Glasgow and Clyde,Male,less than 1,75.29,75.08,75.50,59.53,58.58,60.48,79.07
S08000031,Greater Glasgow and Clyde,Male,1 to 4,74.54,74.34,74.74,58.74,57.79,59.69,78.80
S08000031,Greater Glasgow and Clyde,Male,5 to 9,70.58,70.38,70.78,54.84,53.89,55.79,77.69
S08000031,Greater Glasgow and Clyde,Male,10 to 14,65.61,65.41,65.80,49.99,49.04,50.93,76.19
S08000031,Greater Glasgow and Clyde,Male,15 to 19,60.64,60.45,60.84,45.21,44.28,46.15,74.56
S08000031,Greater Glasgow and Clyde,Male,20 to 24,55.77,55.57,55.96,40.58,39.65,41.51,72.77
S08000031,Greater Glasgow and Clyde,Male,25 to 29,50.94,50.75,51.13,36.08,35.16,36.99,70.82
S08000031,Greater Glasgow and Clyde,Male,30 to 34,46.17,45.98,46.35,31.73,30.84,32.61,68.72
S08000031,Greater Glasgow and Clyde,Male,35 to 39,41.45,41.27,41.63,27.55,26.69,28.41,66.46
S08000031,Greater Glasgow and Clyde,Male,40 to 44,36.86,36.68,37.03,23.63,22.80,24.45,64.10
S08000031,Greater Glasgow and Clyde,Male,45 to 49,32.57,32.40,32.73,20.07,19.28,20.86,61.63
S08000031,Greater Glasgow and Clyde,Male,50 to 54,28.39,28.24,28.55,16.74,15.98,17.50,58.96
S08000031,Greater Glasgow and Clyde,Male,55 to 59,24.24,24.09,24.39,13.61,12.87,14.34,56.13
S08000031,Greater Glasgow and Clyde,Male,60 to 64,20.27,20.13,20.42,10.78,10.07,11.49,53.16
S08000031,Greater Glasgow and Clyde,Male,65 to 69,16.53,16.39,16.66,8.31,7.61,9.01,50.27
S08000031,Greater Glasgow and Clyde,Male,70 to 74,13.17,13.04,13.30,6.20,5.49,6.91,47.07
S08000031,Greater Glasgow and Clyde,Male,75 to 79,10.13,10.01,10.26,4.42,3.67,5.17,43.66
S08000031,Greater Glasgow and Clyde,Male,80 to 84,7.65,7.53,7.77,3.08,2.29,3.86,40.20
S08000031,Greater Glasgow and Clyde,Male,85 to 89,5.66,5.52,5.79,2.09,1.43,2.76,36.98
S08000031,Greater Glasgow and Clyde,Male,90+,4.20,4.00,4.40,1.42,0.77,2.07,33.82
S08000032,Lanarkshire,Female,less than 1,80.12,79.88,80.36,60.43,59.03,61.83,75.43
S08000032,Lanarkshire,Female,1 to 4,79.29,79.06,79.52,59.60,58.20,61.00,75.17
S08000032,Lanarkshire,Female,5 to 9,75.33,75.10,75.56,55.80,54.42,57.19,74.08
S08000032,Lanarkshire,Female,10 to 14,70.38,70.15,70.61,51.10,49.74,52.46,72.60
S08000032,Lanarkshire,Female,15 to 19,65.43,65.20,65.65,46.44,45.11,47.77,70.98
S08000032,Lanarkshire,Female,20 to 24,60.48,60.26,60.70,41.88,40.60,43.16,69.25
S08000032,Lanarkshire,Female,25 to 29,55.55,55.33,55.77,37.44,36.19,38.69,67.40
S08000032,Lanarkshire,Female,30 to 34,50.64,50.42,50.85,33.12,31.90,34.33,65.40
S08000032,Lanarkshire,Female,35 to 39,45.84,45.63,46.05,28.98,27.80,30.16,63.22
S08000032,Lanarkshire,Female,40 to 44,41.14,40.93,41.34,25.03,23.89,26.18,60.86
S08000032,Lanarkshire,Female,45 to 49,36.48,36.29,36.68,21.27,20.16,22.38,58.30
S08000032,Lanarkshire,Female,50 to 54,31.90,31.71,32.08,17.72,16.63,18.80,55.54
S08000032,Lanarkshire,Female,55 to 59,27.36,27.18,27.54,14.40,13.35,15.45,52.62
S08000032,Lanarkshire,Female,60 to 64,23.04,22.87,23.22,11.44,10.43,12.45,49.65
S08000032,Lanarkshire,Female,65 to 69,18.90,18.73,19.06,8.75,7.77,9.73,46.29
S08000032,Lanarkshire,Female,70 to 74,15.03,14.88,15.18,6.41,5.46,7.37,42.65
S08000032,Lanarkshire,Female,75 to 79,11.54,11.39,11.68,4.49,3.51,5.46,38.88
S08000032,Lanarkshire,Female,80 to 84,8.63,8.49,8.77,3.04,2.09,3.99,35.23
S08000032,Lanarkshire,Female,85 to 89,6.08,5.93,6.22,1.92,1.14,2.69,31.54
S08000032,Lanarkshire,Female,90+,4.26,4.07,4.45,1.20,0.49,1.91,28.15
S08000032,Lanarkshire,Male,less than 1,76.01,75.74,76.29,58.57,57.23,59.91,77.05
S08000032,Lanarkshire,Male,1 to 4,75.22,74.96,75.48,57.80,56.46,59.14,76.84
S08000032,Lanarkshire,Male,5 to 9,71.27,71.01,71.53,54.10,52.77,55.42,75.90
S08000032,Lanarkshire,Male,10 to 14,66.28,66.02,66.54,49.43,48.13,50.74,74.58
S08000032,Lanarkshire,Male,15 to 19,61.30,61.04,61.56,44.82,43.54,46.10,73.11
S08000032,Lanarkshire,Male,20 to 24,56.49,56.24,56.74,40.38,39.12,41.63,71.47
S08000032,Lanarkshire,Male,25 to 29,51.67,51.43,51.92,36.00,34.78,37.22,69.67
S08000032,Lanarkshire,Male,30 to 34,46.97,46.73,47.21,31.80,30.62,32.98,67.70
S08000032,Lanarkshire,Male,35 to 39,42.35,42.12,42.57,27.76,26.62,28.90,65.55
S08000032,Lanarkshire,Male,40 to 44,37.79,37.58,38.01,23.90,22.78,25.01,63.22
S08000032,Lanarkshire,Male,45 to 49,33.39,33.18,33.59,20.29,19.22,21.37,60.78
S08000032,Lanarkshire,Male,50 to 54,29.08,28.88,29.28,16.93,15.88,17.97,58.20
S08000032,Lanarkshire,Male,55 to 59,24.81,24.62,24.99,13.73,12.72,14.75,55.36
S08000032,Lanarkshire,Male,60 to 64,20.69,20.51,20.87,10.79,9.80,11.78,52.14
S08000032,Lanarkshire,Male,65 to 69,16.89,16.72,17.06,8.15,7.18,9.11,48.23
S08000032,Lanarkshire,Male,70 to 74,13.36,13.20,13.53,5.88,4.91,6.85,44.00
S08000032,Lanarkshire,Male,75 to 79,10.11,9.95,10.27,3.96,2.97,4.96,39.21
S08000032,Lanarkshire,Male,80 to 84,7.55,7.40,7.71,2.54,1.59,3.48,33.56
S08000032,Lanarkshire,Male,85 to 89,5.52,5.34,5.70,1.48,0.72,2.23,26.72
S08000032,Lanarkshire,Male,90+,4.02,3.75,4.28,0.69,0.07,1.31,17.26
,,,,,,,,,,
© Crown copyright 2019,,,,,,,,,,
