"Table 3: Healthy Life Expectancy (HLE1) estimates by health board in Scotland, 2017-2019",,,,,,,,,,
,,,,,,,,,,
NHS Board,Area code,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)"
Greater Glasgow and Clyde,S08000031,Male,65 to 69,16.72,16.58,16.85,8.98,8.31,9.66,53.73
Greater Glasgow and Clyde,S08000031,Male,70 to 74,13.30,13.17,13.43,6.82,6.15,7.49,51.31
Greater Glasgow and Clyde,S08000031,Male,75 to 79,10.24,10.11,10.37,4.99,4.29,5.70,48.77
Greater Glasgow and Clyde,S08000031,Male,80 to 84,7.77,7.64,7.89,3.60,2.93,4.27,46.30
Greater Glasgow and Clyde,S08000031,Male,85 to 89,5.74,5.60,5.88,2.54,1.96,3.11,44.18
Greater Glasgow and Clyde,S08000031,Male,90+,4.35,4.14,4.55,1.84,1.25,2.43,42.33
Highland,S08000022,Female,<1,81.84,81.48,82.21,64.24,62.15,66.34,78.49
Highland,S08000022,Female,1 to 4,81.01,80.67,81.36,63.50,61.41,65.60,78.39
Highland,S08000022,Female,5 to 9,77.08,76.74,77.42,60.07,58.05,62.10,77.93
Highland,S08000022,Female,10 to 14,72.11,71.78,72.45,55.71,53.79,57.62,77.25
Highland,S08000022,Female,15 to 19,67.18,66.85,67.51,51.32,49.52,53.13,76.39
Highland,S08000022,Female,20 to 24,62.36,62.04,62.68,47.06,45.37,48.74,75.46
Highland,S08000022,Female,25 to 29,57.51,57.20,57.82,42.82,41.24,44.39,74.45
Highland,S08000022,Female,30 to 34,52.61,52.31,52.91,38.53,37.15,39.91,73.24
Highland,S08000022,Female,35 to 39,47.72,47.43,48.01,34.29,33.03,35.54,71.85
Highland,S08000022,Female,40 to 44,42.98,42.70,43.26,30.22,29.05,31.39,70.30
Highland,S08000022,Female,45 to 49,38.31,38.05,38.58,26.24,25.18,27.30,68.49
Highland,S08000022,Female,50 to 54,33.66,33.41,33.92,22.38,21.36,23.41,66.50
Highland,S08000022,Female,55 to 59,29.14,28.89,29.38,18.72,17.75,19.68,64.24
Highland,S08000022,Female,60 to 64,24.75,24.52,24.98,15.29,14.36,16.23,61.80
Highland,S08000022,Female,65 to 69,20.56,20.34,20.78,12.03,11.12,12.95,58.52
Highland,S08000022,Female,70 to 74,16.51,16.30,16.72,9.03,8.12,9.94,54.69
Highland,S08000022,Female,75 to 79,12.59,12.40,12.79,6.32,5.41,7.24,50.21
Highland,S08000022,Female,80 to 84,9.30,9.12,9.49,4.23,3.36,5.10,45.44
Highland,S08000022,Female,85 to 89,6.45,6.27,6.64,2.65,1.94,3.36,41.12
Highland,S08000022,Female,90+,4.33,4.11,4.56,1.64,0.99,2.28,37.76
Highland,S08000022,Male,<1,77.93,77.52,78.34,64.10,62.65,65.55,82.25
Highland,S08000022,Male,1 to 4,77.12,76.72,77.51,63.26,61.81,64.71,82.03
Highland,S08000022,Male,5 to 9,73.17,72.77,73.56,59.35,57.90,60.80,81.12
Highland,S08000022,Male,10 to 14,68.18,67.79,68.57,54.48,53.04,55.92,79.91
Highland,S08000022,Male,15 to 19,63.22,62.83,63.60,49.66,48.22,51.09,78.55
Highland,S08000022,Male,20 to 24,58.43,58.06,58.81,45.05,43.62,46.48,77.10
Highland,S08000022,Male,25 to 29,53.65,53.28,54.01,40.54,39.14,41.93,75.56
Highland,S08000022,Male,30 to 34,49.16,48.82,49.50,36.35,35.06,37.64,73.94
Highland,S08000022,Male,35 to 39,44.55,44.23,44.88,32.12,30.92,33.33,72.10
Highland,S08000022,Male,40 to 44,39.99,39.68,40.30,28.03,26.91,29.15,70.10
Highland,S08000022,Male,45 to 49,35.46,35.17,35.75,24.03,22.99,25.07,67.79
Highland,S08000022,Male,50 to 54,31.02,30.74,31.29,20.21,19.24,21.17,65.15
Highland,S08000022,Male,55 to 59,26.66,26.40,26.92,16.67,15.76,17.57,62.53
Highland,S08000022,Male,60 to 64,22.47,22.22,22.72,13.38,12.52,14.24,59.57
Highland,S08000022,Male,65 to 69,18.58,18.34,18.81,10.55,9.73,11.36,56.76
Highland,S08000022,Male,70 to 74,14.90,14.68,15.13,7.94,7.13,8.76,53.30
Highland,S08000022,Male,75 to 79,11.52,11.30,11.74,5.71,4.87,6.55,49.56
Highland,S08000022,Male,80 to 84,8.50,8.28,8.72,3.84,3.02,4.65,45.15
Highland,S08000022,Male,85 to 89,6.01,5.78,6.25,2.52,1.84,3.19,41.83
Highland,S08000022,Male,90+,4.39,4.04,4.74,1.84,1.16,2.51,41.85
Lanarkshire,S08000032,Female,<1,80.31,80.07,80.55,60.15,58.72,61.57,74.89
Lanarkshire,S08000032,Female,1 to 4,79.46,79.23,79.69,59.33,57.91,60.76,74.67
Lanarkshire,S08000032,Female,5 to 9,75.48,75.26,75.71,55.66,54.25,57.06,73.74
Lanarkshire,S08000032,Female,10 to 14,70.51,70.28,70.74,51.06,49.69,52.43,72.42
Lanarkshire,S08000032,Female,15 to 19,65.57,65.35,65.80,46.52,45.18,47.85,70.94
Lanarkshire,S08000032,Female,20 to 24,60.62,60.40,60.85,42.02,40.73,43.31,69.31
Lanarkshire,S08000032,Female,25 to 29,55.70,55.48,55.92,37.62,36.37,38.88,67.55
Lanarkshire,S08000032,Female,30 to 34,50.79,50.57,51.00,33.31,32.09,34.53,65.60
Lanarkshire,S08000032,Female,35 to 39,45.97,45.76,46.18,29.16,27.98,30.35,63.45
Lanarkshire,S08000032,Female,40 to 44,41.23,41.03,41.43,25.19,24.04,26.34,61.10
Lanarkshire,S08000032,Female,45 to 49,36.63,36.43,36.82,21.44,20.32,22.56,58.53
Lanarkshire,S08000032,Female,50 to 54,32.03,31.84,32.22,17.85,16.77,18.94,55.74
Lanarkshire,S08000032,Female,55 to 59,27.53,27.35,27.71,14.52,13.47,15.57,52.76
Lanarkshire,S08000032,Female,60 to 64,23.17,23.00,23.34,11.51,10.50,12.51,49.65
Lanarkshire,S08000032,Female,65 to 69,19.01,18.85,19.17,8.77,7.80,9.75,46.15
Lanarkshire,S08000032,Female,70 to 74,15.16,15.00,15.31,6.42,5.47,7.37,42.34
Lanarkshire,S08000032,Female,75 to 79,11.62,11.47,11.76,4.45,3.51,5.39,38.29
Lanarkshire,S08000032,Female,80 to 84,8.67,8.53,8.80,2.96,2.06,3.86,34.17
Lanarkshire,S08000032,Female,85 to 89,6.09,5.96,6.23,1.82,1.10,2.54,29.81
Lanarkshire,S08000032,Female,90+,4.24,4.06,4.42,1.07,0.42,1.72,25.30
Lanarkshire,S08000032,Male,<1,76.04,75.76,76.32,58.28,56.95,59.61,76.65
Lanarkshire,S08000032,Male,1 to 4,75.30,75.04,75.57,57.53,56.20,58.86,76.40
Lanarkshire,S08000032,Male,5 to 9,71.35,71.09,71.61,53.75,52.43,55.07,75.33
Lanarkshire,S08000032,Male,10 to 14,66.35,66.09,66.61,49.02,47.72,50.32,73.88
Lanarkshire,S08000032,Male,15 to 19,61.38,61.12,61.64,44.36,43.09,45.64,72.28
Lanarkshire,S08000032,Male,20 to 24,56.57,56.31,56.82,39.90,38.65,41.16,70.54
Lanarkshire,S08000032,Male,25 to 29,51.81,51.57,52.06,35.57,34.35,36.79,68.65
Lanarkshire,S08000032,Male,30 to 34,47.12,46.88,47.36,31.39,30.21,32.57,66.62
Lanarkshire,S08000032,Male,35 to 39,42.51,42.28,42.74,27.39,26.25,28.52,64.42
Lanarkshire,S08000032,Male,40 to 44,37.99,37.77,38.21,23.58,22.47,24.68,62.07
Lanarkshire,S08000032,Male,45 to 49,33.57,33.37,33.78,20.00,18.94,21.06,59.57
Lanarkshire,S08000032,Male,50 to 54,29.26,29.06,29.46,16.66,15.63,17.68,56.92
Lanarkshire,S08000032,Male,55 to 59,24.97,24.78,25.16,13.50,12.51,14.49,54.06
Lanarkshire,S08000032,Male,60 to 64,20.81,20.63,20.99,10.59,9.63,11.55,50.91
Lanarkshire,S08000032,Male,65 to 69,16.99,16.81,17.16,8.04,7.12,8.96,47.33
Lanarkshire,S08000032,Male,70 to 74,13.47,13.30,13.63,5.85,4.94,6.76,43.45
Lanarkshire,S08000032,Male,75 to 79,10.23,10.07,10.38,4.00,3.08,4.92,39.12
Lanarkshire,S08000032,Male,80 to 84,7.65,7.50,7.81,2.62,1.77,3.46,34.17
Lanarkshire,S08000032,Male,85 to 89,5.57,5.39,5.74,1.58,0.90,2.27,28.40
Lanarkshire,S08000032,Male,90+,4.01,3.75,4.27,0.84,0.25,1.43,20.91
Lothian,S08000024,Female,<1,82.12,81.90,82.33,63.56,62.25,64.86,77.40
Lothian,S08000024,Female,1 to 4,81.32,81.11,81.52,62.77,61.46,64.08,77.19
Lothian,S08000024,Female,5 to 9,77.34,77.14,77.54,59.04,57.74,60.34,76.34
Lothian,S08000024,Female,10 to 14,72.36,72.16,72.56,54.38,53.10,55.66,75.16
Lothian,S08000024,Female,15 to 19,67.39,67.19,67.59,49.79,48.53,51.05,73.88
Lothian,S08000024,Female,20 to 24,62.46,62.26,62.66,45.37,44.13,46.60,72.63
Lothian,S08000024,Female,25 to 29,57.51,57.31,57.71,41.01,39.81,42.21,71.31
Lothian,S08000024,Female,30 to 34,52.58,52.38,52.77,36.73,35.56,37.90,69.86
Lothian,S08000024,Female,35 to 39,47.69,47.50,47.88,32.52,31.38,33.66,68.19
Lothian,S08000024,Female,40 to 44,42.90,42.71,43.08,28.52,27.41,29.62,66.48
Lothian,S08000024,Female,45 to 49,38.14,37.96,38.33,24.67,23.60,25.75,64.69
Lothian,S08000024,Female,50 to 54,33.46,33.28,33.64,20.95,19.90,21.99,62.60
Lothian,S08000024,Female,55 to 59,28.93,28.76,29.11,17.46,16.45,18.47,60.35
Lothian,S08000024,Female,60 to 64,24.53,24.36,24.69,14.24,13.25,15.23,58.05
Lothian,S08000024,Female,65 to 69,20.33,20.17,20.49,11.12,10.16,12.09,54.72
Lothian,S08000024,Female,70 to 74,16.31,16.17,16.46,8.23,7.28,9.19,50.45
Lothian,S08000024,Female,75 to 79,12.64,12.50,12.78,5.72,4.76,6.68,45.26
Lothian,S08000024,Female,80 to 84,9.44,9.31,9.58,3.74,2.88,4.60,39.61
Lothian,S08000024,Female,85 to 89,6.66,6.53,6.79,2.37,1.67,3.07,35.57
Lothian,S08000024,Female,90+,4.56,4.40,4.73,1.56,0.90,2.23,34.30
Lothian,S08000024,Male,<1,78.33,78.10,78.57,64.82,63.64,66.01,82.75
Lothian,S08000024,Male,1 to 4,77.66,77.43,77.88,64.14,62.95,65.33,82.59
Lothian,S08000024,Male,5 to 9,73.69,73.47,73.91,60.37,59.19,61.55,81.92
Lothian,S08000024,Male,10 to 14,68.74,68.52,68.96,55.68,54.52,56.83,81.00
Lothian,S08000024,Male,15 to 19,63.78,63.56,64.00,51.01,49.88,52.15,79.98
Lothian,S08000024,Male,20 to 24,58.88,58.67,59.10,46.45,45.34,47.55,78.88
Lothian,S08000024,Male,25 to 29,54.04,53.83,54.25,41.98,40.89,43.06,77.68
Lothian,S08000024,Male,30 to 34,49.20,48.99,49.41,37.58,36.52,38.63,76.38
Lothian,S08000024,Male,35 to 39,44.43,44.23,44.64,33.31,32.28,34.35,74.98
Lothian,S08000024,Male,40 to 44,39.75,39.56,39.95,29.21,28.19,30.23,73.47
Lothian,S08000024,Male,45 to 49,35.18,34.98,35.37,25.28,24.28,26.27,71.85
Lothian,S08000024,Male,50 to 54,30.68,30.50,30.87,21.51,20.54,22.48,70.11
Lothian,S08000024,Male,55 to 59,26.35,26.17,26.53,17.98,17.04,18.91,68.21
Lothian,S08000024,Male,60 to 64,22.13,21.96,22.30,14.65,13.73,15.57,66.19
Lothian,S08000024,Male,65 to 69,18.17,18.00,18.33,11.63,10.73,12.53,64.03
Lothian,S08000024,Male,70 to 74,14.44,14.28,14.59,8.90,8.00,9.81,61.65
Lothian,S08000024,Male,75 to 79,11.03,10.88,11.18,6.51,5.55,7.47,58.99
Lothian,S08000024,Male,80 to 84,8.29,8.14,8.44,4.64,3.69,5.59,55.99
Lothian,S08000024,Male,85 to 89,6.01,5.86,6.17,3.17,2.35,3.99,52.74
Lothian,S08000024,Male,90+,4.21,3.99,4.43,2.07,1.29,2.86,49.25
Orkney,S08000025,Female,<1,82.26,80.84,83.68,75.05,71.37,78.73,91.23
Orkney,S08000025,Female,1 to 4,81.26,79.84,82.68,74.05,70.37,77.73,91.13
Orkney,S08000025,Female,5 to 9,77.26,75.84,78.68,70.05,66.37,73.73,90.67
Orkney,S08000025,Female,10 to 14,72.26,70.84,73.68,65.05,61.37,68.73,90.02
Orkney,S08000025,Female,15 to 19,67.26,65.84,68.68,60.07,56.40,63.73,89.30
Orkney,S08000025,Female,20 to 24,62.26,60.84,63.68,55.11,51.48,58.74,88.51
Orkney,S08000025,Female,25 to 29,57.91,56.68,59.14,50.77,47.21,54.32,87.66
Orkney,S08000025,Female,30 to 34,53.22,52.07,54.38,46.16,42.75,49.57,86.73
Orkney,S08000025,Female,35 to 39,48.36,47.22,49.49,41.45,38.08,44.82,85.72
Orkney,S08000025,Female,40 to 44,43.48,42.37,44.59,36.79,33.49,40.09,84.61
Orkney,S08000025,Female,45 to 49,38.70,37.62,39.77,32.28,29.06,35.51,83.42
Orkney,S08000025,Female,50 to 54,34.08,33.05,35.11,27.99,24.79,31.19,82.13
Orkney,S08000025,Female,55 to 59,29.78,28.80,30.75,24.04,20.84,27.24,80.73
Orkney,S08000025,Female,60 to 64,25.34,24.41,26.27,20.08,16.90,23.25,79.24
Orkney,S08000025,Female,65 to 69,20.77,19.87,21.68,16.12,13.05,19.18,77.58
Orkney,S08000025,Female,70 to 74,16.78,15.91,17.64,12.71,9.60,15.81,75.74
Orkney,S08000025,Female,75 to 79,12.99,12.16,13.83,9.58,6.32,12.84,73.71
Orkney,S08000025,Female,80 to 84,9.74,8.92,10.56,6.96,4.79,9.14,71.50
Orkney,S08000025,Female,85 to 89,7.03,6.18,7.89,4.85,2.92,6.79,68.98
Orkney,S08000025,Female,90+,4.91,3.84,5.99,3.27,1.33,5.20,66.48
Orkney,S08000025,Male,<1,79.04,77.57,80.51,69.33,65.60,73.07,87.72
Orkney,S08000025,Male,1 to 4,78.04,76.57,79.51,68.33,64.60,72.07,87.56
Orkney,S08000025,Male,5 to 9,74.04,72.57,75.51,64.41,60.70,68.12,87.00
Orkney,S08000025,Male,10 to 14,69.04,67.57,70.51,59.48,55.79,63.16,86.14
Orkney,S08000025,Male,15 to 19,64.04,62.57,65.51,54.53,50.87,58.19,85.15
Orkney,S08000025,Male,20 to 24,59.04,57.57,60.51,49.65,46.04,53.26,84.09
Orkney,S08000025,Male,25 to 29,54.51,53.13,55.90,45.04,41.40,48.68,82.62
Orkney,S08000025,Male,30 to 34,50.09,48.81,51.37,40.58,37.07,44.08,81.01
Orkney,S08000025,Male,35 to 39,45.49,44.28,46.70,35.90,32.37,39.43,78.93
Orkney,S08000025,Male,40 to 44,41.00,39.88,42.11,31.55,28.07,35.03,76.96
Orkney,S08000025,Male,45 to 49,36.33,35.27,37.39,27.17,23.85,30.49,74.77
Orkney,S08000025,Male,50 to 54,31.72,30.71,32.74,22.70,19.42,25.97,71.56
Orkney,S08000025,Male,55 to 59,27.38,26.41,28.35,18.49,15.19,21.79,67.54
Orkney,S08000025,Male,60 to 64,23.17,22.25,24.09,14.65,11.33,17.97,63.25
Orkney,S08000025,Male,65 to 69,19.23,18.36,20.09,11.35,8.00,14.70,59.04
Orkney,S08000025,Male,70 to 74,15.38,14.56,16.21,8.25,4.80,11.70,53.64
Orkney,S08000025,Male,75 to 79,11.83,11.04,12.62,5.76,2.20,9.32,48.66
Orkney,S08000025,Male,80 to 84,8.76,7.98,9.53,3.39,0.38,6.40,38.76
Orkney,S08000025,Male,85 to 89,6.17,5.35,6.99,2.04,-0.39,4.48,33.11
Orkney,S08000025,Male,90+,3.93,2.89,4.97,0.83,-1.00,2.66,21.12
Shetland,S08000026,Female,<1,83.21,81.94,84.49,61.87,55.71,68.03,74.35
Shetland,S08000026,Female,1 to 4,82.47,81.30,83.64,61.30,55.14,67.47,74.33
Shetland,S08000026,Female,5 to 9,78.47,77.30,79.64,58.20,52.21,64.20,74.17
Shetland,S08000026,Female,10 to 14,73.47,72.30,74.64,54.19,48.45,59.93,73.76
Shetland,S08000026,Female,15 to 19,68.47,67.30,69.64,50.02,44.51,55.53,73.06
Shetland,S08000026,Female,20 to 24,63.47,62.30,64.64,45.82,40.54,51.10,72.19
Shetland,S08000026,Female,25 to 29,58.47,57.30,59.64,41.52,36.37,46.68,71.02
Shetland,S08000026,Female,30 to 34,53.62,52.48,54.76,37.38,32.52,42.24,69.72
Shetland,S08000026,Female,35 to 39,48.74,47.63,49.86,33.16,28.71,37.62,68.04
Shetland,S08000026,Female,40 to 44,43.74,42.63,44.86,28.86,24.85,32.87,65.97
Shetland,S08000026,Female,45 to 49,39.14,38.09,40.20,24.96,21.21,28.72,63.77
Shetland,S08000026,Female,50 to 54,34.37,33.33,35.40,21.02,17.44,24.60,61.17
Shetland,S08000026,Female,55 to 59,29.81,28.82,30.81,17.35,13.87,20.82,58.18
Shetland,S08000026,Female,60 to 64,25.67,24.75,26.60,13.89,10.42,17.35,54.09
Shetland,S08000026,Female,65 to 69,21.55,20.69,22.41,10.63,7.19,14.07,49.35
Shetland,S08000026,Female,70 to 74,16.97,16.13,17.80,7.38,4.00,10.76,43.49
Shetland,S08000026,Female,75 to 79,13.04,12.25,13.82,4.73,1.37,8.08,36.26
Shetland,S08000026,Female,80 to 84,9.29,8.55,10.04,2.75,-0.29,5.78,29.55
Shetland,S08000026,Female,85 to 89,6.33,5.61,7.06,1.42,-0.85,3.69,22.44
Shetland,S08000026,Female,90+,4.06,3.21,4.90,0.67,-1.08,2.41,16.41
Shetland,S08000026,Male,<1,80.16,78.76,81.56,68.95,62.71,75.20,86.02
Shetland,S08000026,Male,1 to 4,79.39,78.05,80.72,68.15,61.89,74.41,85.84
Shetland,S08000026,Male,5 to 9,75.39,74.05,76.72,64.15,57.89,70.41,85.09
Shetland,S08000026,Male,10 to 14,70.39,69.05,71.72,59.15,52.89,65.41,84.03
Shetland,S08000026,Male,15 to 19,65.39,64.05,66.72,54.42,48.26,60.58,83.23
Shetland,S08000026,Male,20 to 24,60.55,59.25,61.85,49.72,43.61,55.84,82.12
Shetland,S08000026,Male,25 to 29,55.70,54.43,56.97,45.30,39.39,51.21,81.33
Shetland,S08000026,Male,30 to 34,50.96,49.74,52.18,41.09,35.31,46.86,80.62
Shetland,S08000026,Male,35 to 39,46.19,45.01,47.37,37.00,31.74,42.26,80.10
Shetland,S08000026,Male,40 to 44,41.30,40.13,42.47,32.79,28.79,36.80,79.41
Shetland,S08000026,Male,45 to 49,36.65,35.52,37.78,28.95,25.08,32.81,78.99
Shetland,S08000026,Male,50 to 54,31.93,30.83,33.03,25.15,21.58,28.72,78.77
Shetland,S08000026,Male,55 to 59,27.26,26.17,28.34,21.48,18.11,24.86,78.82
Shetland,S08000026,Male,60 to 64,23.34,22.31,24.37,18.61,15.24,21.98,79.73
Shetland,S08000026,Male,65 to 69,19.09,18.08,20.09,15.17,11.84,18.49,79.47
Shetland,S08000026,Male,70 to 74,15.47,14.49,16.44,12.31,8.80,15.82,79.60
Shetland,S08000026,Male,75 to 79,11.77,10.79,12.74,9.76,6.07,13.44,82.92
Shetland,S08000026,Male,80 to 84,9.19,8.18,10.20,7.74,3.81,11.66,84.14
Shetland,S08000026,Male,85 to 89,6.42,5.30,7.54,5.33,2.01,8.65,82.99
Shetland,S08000026,Male,90+,4.56,2.98,6.14,3.52,-0.23,7.27,77.20
Tayside,S08000030,Female,<1,81.69,81.37,82.02,61.63,60.41,62.86,75.45
Tayside,S08000030,Female,1 to 4,81.01,80.71,81.31,60.99,59.76,62.22,75.28
Tayside,S08000030,Female,5 to 9,77.05,76.76,77.34,57.47,56.26,58.69,74.59
Tayside,S08000030,Female,10 to 14,72.07,71.78,72.36,53.06,51.88,54.24,73.62
Tayside,S08000030,Female,15 to 19,67.11,66.82,67.39,48.69,47.54,49.83,72.55
Tayside,S08000030,Female,20 to 24,62.15,61.87,62.44,44.40,43.29,45.51,71.44
Tayside,S08000030,Female,25 to 29,57.21,56.92,57.49,40.19,39.11,41.27,70.25
Tayside,S08000030,Female,30 to 34,52.31,52.03,52.59,36.09,35.04,37.13,68.98
Tayside,S08000030,Female,35 to 39,47.50,47.23,47.77,32.11,31.12,33.11,67.61
Tayside,S08000030,Female,40 to 44,42.79,42.53,43.05,28.31,27.35,29.27,66.16
Tayside,S08000030,Female,45 to 49,38.11,37.86,38.36,24.59,23.68,25.51,64.52
Tayside,S08000030,Female,50 to 54,33.53,33.29,33.76,21.05,20.16,21.93,62.78
Tayside,S08000030,Female,55 to 59,29.05,28.82,29.28,17.69,16.84,18.55,60.91
Tayside,S08000030,Female,60 to 64,24.67,24.45,24.89,14.49,13.67,15.32,58.75
Tayside,S08000030,Female,65 to 69,20.49,20.28,20.69,11.47,10.67,12.26,55.97
Tayside,S08000030,Female,70 to 74,16.48,16.29,16.67,8.65,7.88,9.42,52.50
Tayside,S08000030,Female,75 to 79,12.73,12.55,12.91,6.20,5.43,6.97,48.69
Tayside,S08000030,Female,80 to 84,9.46,9.29,9.63,4.22,3.51,4.94,44.65
Tayside,S08000030,Female,85 to 89,6.71,6.54,6.88,2.75,2.15,3.35,40.93
Tayside,S08000030,Female,90+,4.69,4.48,4.90,1.77,1.20,2.35,37.81
Tayside,S08000030,Male,<1,77.07,76.69,77.44,61.39,60.26,62.52,79.66
Tayside,S08000030,Male,1 to 4,76.49,76.15,76.83,60.84,59.70,61.97,79.54
Tayside,S08000030,Male,5 to 9,72.52,72.18,72.87,57.28,56.17,58.39,78.98
Tayside,S08000030,Male,10 to 14,67.53,67.19,67.88,52.83,51.75,53.90,78.22
Tayside,S08000030,Male,15 to 19,62.54,62.20,62.89,48.37,47.34,49.40,77.34
Tayside,S08000030,Male,20 to 24,57.66,57.32,57.99,44.03,43.04,45.02,76.36
Tayside,S08000030,Male,25 to 29,52.85,52.52,53.18,39.79,38.82,40.75,75.29
Tayside,S08000030,Male,30 to 34,48.13,47.81,48.45,35.68,34.74,36.61,74.12
Tayside,S08000030,Male,35 to 39,43.66,43.36,43.97,31.80,30.90,32.70,72.84
Tayside,S08000030,Male,40 to 44,39.22,38.93,39.51,28.03,27.16,28.89,71.46
Tayside,S08000030,Male,45 to 49,34.99,34.73,35.25,24.49,23.66,25.33,69.99
Tayside,S08000030,Male,50 to 54,30.69,30.44,30.94,20.94,20.14,21.74,68.23
Tayside,S08000030,Male,55 to 59,26.43,26.20,26.67,17.53,16.76,18.30,66.32
Tayside,S08000030,Male,60 to 64,22.25,22.02,22.47,14.34,13.61,15.08,64.48
Tayside,S08000030,Male,65 to 69,18.29,18.08,18.50,11.43,10.72,12.14,62.50
Tayside,S08000030,Male,70 to 74,14.62,14.42,14.81,8.75,8.05,9.45,59.87
Tayside,S08000030,Male,75 to 79,11.29,11.10,11.48,6.42,5.70,7.13,56.85
Tayside,S08000030,Male,80 to 84,8.30,8.12,8.49,4.46,3.79,5.13,53.69
Tayside,S08000030,Male,85 to 89,5.99,5.80,6.19,3.01,2.44,3.59,50.27
Tayside,S08000030,Male,90+,4.07,3.81,4.34,2.02,1.49,2.55,49.55
Western Isles,S08000028,Female,<1,83.39,82.36,84.42,69.58,66.76,72.40,83.44
Western Isles,S08000028,Female,1 to 4,82.39,81.36,83.42,68.66,65.84,71.47,83.33
Western Isles,S08000028,Female,5 to 9,78.39,77.36,79.42,64.94,62.16,67.72,82.84
Western Isles,S08000028,Female,10 to 14,73.39,72.36,74.42,60.22,57.49,62.96,82.06
Western Isles,S08000028,Female,15 to 19,68.39,67.36,69.42,55.51,52.83,58.20,81.17
Western Isles,S08000028,Female,20 to 24,63.56,62.58,64.54,50.90,48.24,53.55,80.07
Western Isles,S08000028,Female,25 to 29,58.56,57.58,59.54,46.15,43.72,48.57,78.80
Western Isles,S08000028,Female,30 to 34,53.73,52.80,54.65,41.59,39.41,43.78,77.42
Western Isles,S08000028,Female,35 to 39,48.73,47.80,49.65,36.96,35.01,38.92,75.86
Western Isles,S08000028,Female,40 to 44,43.93,43.04,44.82,32.57,30.73,34.42,74.15
Western Isles,S08000028,Female,45 to 49,38.93,38.04,39.82,28.16,26.45,29.87,72.34
Western Isles,S08000028,Female,50 to 54,34.19,33.33,35.05,24.09,22.46,25.73,70.47
Western Isles,S08000028,Female,55 to 59,29.75,28.94,30.55,20.33,18.79,21.88,68.35
Western Isles,S08000028,Female,60 to 64,25.41,24.66,26.17,16.83,15.36,18.31,66.25
Western Isles,S08000028,Female,65 to 69,21.10,20.40,21.81,13.54,12.14,14.95,64.16
Western Isles,S08000028,Female,70 to 74,16.96,16.30,17.61,10.49,9.14,11.84,61.86
Western Isles,S08000028,Female,75 to 79,12.87,12.26,13.48,7.69,6.38,9.01,59.77
Western Isles,S08000028,Female,80 to 84,9.50,8.93,10.06,5.35,4.07,6.63,56.35
Western Isles,S08000028,Female,85 to 89,6.45,5.92,6.99,3.34,2.29,4.39,51.73
Western Isles,S08000028,Female,90+,4.12,3.50,4.75,1.87,0.95,2.80,45.43
Western Isles,S08000028,Male,<1,77.84,76.45,79.22,66.99,64.07,69.92,86.07
Western Isles,S08000028,Male,1 to 4,76.84,75.45,78.22,65.99,63.07,68.92,85.89
Western Isles,S08000028,Male,5 to 9,73.03,71.70,74.37,62.16,59.23,65.09,85.11
Western Isles,S08000028,Male,10 to 14,68.03,66.70,69.37,57.20,54.27,60.12,84.07
Western Isles,S08000028,Male,15 to 19,63.03,61.70,64.37,52.33,49.43,55.23,83.02
Western Isles,S08000028,Male,20 to 24,58.36,57.09,59.62,47.85,44.99,50.71,82.00
Western Isles,S08000028,Male,25 to 29,53.51,52.28,54.74,43.32,40.74,45.90,80.96
Western Isles,S08000028,Male,30 to 34,48.65,47.45,49.85,38.89,36.61,41.17,79.93
Western Isles,S08000028,Male,35 to 39,44.01,42.87,45.15,34.73,32.63,36.84,78.92
Western Isles,S08000028,Male,40 to 44,39.64,38.60,40.68,30.89,29.04,32.75,77.94
Western Isles,S08000028,Male,45 to 49,35.05,34.06,36.03,26.97,25.25,28.69,76.96
Western Isles,S08000028,Male,50 to 54,30.43,29.48,31.39,23.13,21.53,24.73,76.00
Western Isles,S08000028,Male,55 to 59,26.43,25.53,27.32,19.82,18.26,21.37,74.98
Western Isles,S08000028,Male,60 to 64,22.18,21.32,23.04,16.42,14.96,17.88,74.04
Western Isles,S08000028,Male,65 to 69,17.88,17.04,18.71,13.05,11.66,14.44,72.98
Western Isles,S08000028,Male,70 to 74,14.47,13.66,15.29,10.42,8.99,11.84,71.97
Western Isles,S08000028,Male,75 to 79,11.44,10.61,12.26,8.14,6.60,9.67,71.15
Western Isles,S08000028,Male,80 to 84,8.72,7.85,9.60,6.09,4.39,7.78,69.75
Western Isles,S08000028,Male,85 to 89,6.61,5.56,7.66,4.51,2.98,6.04,68.19
Western Isles,S08000028,Male,90+,6.12,4.42,7.82,4.06,2.04,6.09,66.37
,,,,,,,,,,
Footnotes,,,,,,,,,,
1) HLE estimates are based on the five point response general health question in the annual population survey (APS). Those answered as in 'good' or 'very good' health were classified as being in health.,,,,,,,,,,
,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
