"Table 4: Healthy Life Expectancy HLE estimates by SIMD decile in Scotland, 2019-2021",,,,,,,,,
,,,,,,,,,
SIMD decile,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Decile 8,Male,60 to 64,22.96,22.78,23.15,14.87,13.98,15.76,64.77
Decile 8,Male,65 to 69,18.76,18.58,18.93,11.57,10.72,12.43,61.70
Decile 8,Male,70 to 74,14.80,14.64,14.97,8.57,7.74,9.40,57.90
Decile 8,Male,75 to 79,11.15,10.99,11.31,6.00,5.18,6.83,53.85
Decile 8,Male,80 to 84,8.16,8.01,8.32,4.00,3.24,4.76,49.00
Decile 8,Male,85 to 89,5.69,5.53,5.85,2.51,1.88,3.14,44.08
Decile 8,Male,90+,3.78,3.56,4.00,1.60,1.05,2.16,42.41
Decile 9,Female,<1,84.20,83.96,84.45,70.57,69.16,71.97,83.81
Decile 9,Female,1 to 4,83.35,83.12,83.58,69.77,68.36,71.18,83.70
Decile 9,Female,5 to 9,79.38,79.16,79.61,66.09,64.70,67.47,83.25
Decile 9,Female,10 to 14,74.39,74.17,74.62,61.44,60.08,62.79,82.59
Decile 9,Female,15 to 19,69.40,69.17,69.62,56.78,55.46,58.10,81.81
Decile 9,Female,20 to 24,64.44,64.21,64.66,52.16,50.87,53.44,80.94
Decile 9,Female,25 to 29,59.48,59.26,59.70,47.56,46.32,48.80,79.96
Decile 9,Female,30 to 34,54.55,54.33,54.77,43.02,41.82,44.22,78.86
Decile 9,Female,35 to 39,49.60,49.38,49.81,38.50,37.33,39.67,77.62
Decile 9,Female,40 to 44,44.72,44.51,44.93,34.09,32.97,35.22,76.24
Decile 9,Female,45 to 49,39.93,39.73,40.14,29.83,28.72,30.93,74.70
Decile 9,Female,50 to 54,35.12,34.92,35.32,25.64,24.56,26.71,72.99
Decile 9,Female,55 to 59,30.44,30.25,30.64,21.64,20.60,22.68,71.09
Decile 9,Female,60 to 64,25.86,25.67,26.04,17.83,16.81,18.84,68.96
Decile 9,Female,65 to 69,21.40,21.22,21.58,14.24,13.25,15.23,66.54
Decile 9,Female,70 to 74,17.15,16.98,17.32,10.93,9.95,11.91,63.74
Decile 9,Female,75 to 79,13.18,13.01,13.35,7.98,7.02,8.94,60.55
Decile 9,Female,80 to 84,9.67,9.51,9.83,5.51,4.60,6.42,56.97
Decile 9,Female,85 to 89,6.78,6.62,6.94,3.60,2.83,4.37,53.05
Decile 9,Female,90+,4.66,4.47,4.85,2.30,1.55,3.04,49.27
Decile 9,Male,<1,81.39,81.13,81.66,70.53,69.30,71.76,86.65
Decile 9,Male,1 to 4,80.59,80.34,80.84,69.70,68.47,70.93,86.48
Decile 9,Male,5 to 9,76.62,76.37,76.87,65.72,64.49,66.96,85.78
Decile 9,Male,10 to 14,71.65,71.41,71.90,60.78,59.55,62.02,84.83
Decile 9,Male,15 to 19,66.69,66.45,66.94,55.91,54.68,57.13,83.83
Decile 9,Male,20 to 24,61.76,61.51,62.00,51.11,49.90,52.33,82.77
Decile 9,Male,25 to 29,56.88,56.65,57.12,46.46,45.29,47.63,81.67
Decile 9,Male,30 to 34,52.04,51.81,52.27,41.88,40.75,43.01,80.48
Decile 9,Male,35 to 39,47.15,46.93,47.38,37.31,36.21,38.41,79.12
Decile 9,Male,40 to 44,42.30,42.08,42.52,32.81,31.73,33.89,77.57
Decile 9,Male,45 to 49,37.51,37.30,37.73,28.43,27.38,29.48,75.79
Decile 9,Male,50 to 54,32.78,32.57,32.99,24.17,23.16,25.19,73.74
Decile 9,Male,55 to 59,28.16,27.95,28.36,20.12,19.14,21.09,71.44
Decile 9,Male,60 to 64,23.64,23.44,23.84,16.28,15.34,17.22,68.85
Decile 9,Male,65 to 69,19.44,19.25,19.63,12.84,11.91,13.77,66.05
Decile 9,Male,70 to 74,15.43,15.25,15.61,9.65,8.73,10.56,62.52
Decile 9,Male,75 to 79,11.69,11.52,11.87,6.81,5.88,7.74,58.28
Decile 9,Male,80 to 84,8.56,8.39,8.73,4.59,3.71,5.48,53.64
Decile 9,Male,85 to 89,6.07,5.89,6.25,3.00,2.25,3.74,49.36
Decile 9,Male,90+,4.31,4.06,4.56,1.96,1.24,2.69,45.55
Decile 10 (least deprived),Female,<1,85.50,85.26,85.74,72.26,70.75,73.78,84.52
Decile 10 (least deprived),Female,1 to 4,84.63,84.40,84.85,71.47,69.95,72.98,84.45
Decile 10 (least deprived),Female,5 to 9,80.64,80.41,80.86,67.84,66.37,69.31,84.13
Decile 10 (least deprived),Female,10 to 14,75.65,75.42,75.87,63.26,61.87,64.66,83.63
Decile 10 (least deprived),Female,15 to 19,70.66,70.43,70.88,58.67,57.34,60.00,83.04
Decile 10 (least deprived),Female,20 to 24,65.69,65.47,65.91,54.12,52.86,55.37,82.38
Decile 10 (least deprived),Female,25 to 29,60.75,60.53,60.97,49.59,48.39,50.79,81.63
Decile 10 (least deprived),Female,30 to 34,55.85,55.64,56.06,45.10,43.92,46.27,80.74
Decile 10 (least deprived),Female,35 to 39,50.92,50.71,51.13,40.59,39.46,41.71,79.70
Decile 10 (least deprived),Female,40 to 44,46.04,45.83,46.25,36.15,35.07,37.22,78.51
Decile 10 (least deprived),Female,45 to 49,41.13,40.93,41.33,31.74,30.72,32.76,77.16
Decile 10 (least deprived),Female,50 to 54,36.29,36.09,36.49,27.43,26.44,28.42,75.59
Decile 10 (least deprived),Female,55 to 59,31.58,31.39,31.77,23.30,22.34,24.25,73.77
Decile 10 (least deprived),Female,60 to 64,26.89,26.71,27.08,19.28,18.35,20.20,71.69
Decile 10 (least deprived),Female,65 to 69,22.32,22.14,22.50,15.43,14.52,16.33,69.11
Decile 10 (least deprived),Female,70 to 74,17.96,17.79,18.14,11.85,10.97,12.73,65.95
Decile 10 (least deprived),Female,75 to 79,13.80,13.64,13.97,8.58,7.72,9.44,62.16
Decile 10 (least deprived),Female,80 to 84,10.13,9.98,10.29,5.86,5.07,6.64,57.80
Decile 10 (least deprived),Female,85 to 89,6.95,6.80,7.11,3.72,3.07,4.38,53.55
Decile 10 (least deprived),Female,90+,4.44,4.26,4.63,2.21,1.62,2.80,49.73
Decile 10 (least deprived),Male,<1,82.30,82.04,82.57,70.97,69.67,72.26,86.23
Decile 10 (least deprived),Male,1 to 4,81.52,81.27,81.76,70.20,68.90,71.50,86.12
Decile 10 (least deprived),Male,5 to 9,77.59,77.35,77.83,66.44,65.15,67.72,85.62
Decile 10 (least deprived),Male,10 to 14,72.60,72.36,72.84,61.66,60.40,62.91,84.92
Decile 10 (least deprived),Male,15 to 19,67.63,67.39,67.87,56.90,55.67,58.13,84.13
Decile 10 (least deprived),Male,20 to 24,62.72,62.48,62.95,52.22,51.01,53.42,83.26
Decile 10 (least deprived),Male,25 to 29,57.86,57.63,58.09,47.62,46.44,48.80,82.30
Decile 10 (least deprived),Male,30 to 34,52.94,52.71,53.16,43.00,41.85,44.15,81.23
Decile 10 (least deprived),Male,35 to 39,48.07,47.85,48.29,38.45,37.32,39.58,79.99
Decile 10 (least deprived),Male,40 to 44,43.19,42.98,43.41,33.93,32.84,35.01,78.54
Decile 10 (least deprived),Male,45 to 49,38.32,38.11,38.53,29.48,28.44,30.52,76.92
Decile 10 (least deprived),Male,50 to 54,33.56,33.36,33.77,25.18,24.18,26.17,75.01
Decile 10 (least deprived),Male,55 to 59,28.94,28.74,29.14,21.08,20.10,22.05,72.84
Decile 10 (least deprived),Male,60 to 64,24.37,24.17,24.56,17.14,16.20,18.08,70.33
Decile 10 (least deprived),Male,65 to 69,19.98,19.79,20.16,13.49,12.58,14.39,67.50
Decile 10 (least deprived),Male,70 to 74,15.84,15.66,16.01,10.17,9.30,11.05,64.23
Decile 10 (least deprived),Male,75 to 79,12.02,11.85,12.19,7.23,6.35,8.12,60.16
Decile 10 (least deprived),Male,80 to 84,8.74,8.58,8.90,4.86,4.01,5.71,55.60
Decile 10 (least deprived),Male,85 to 89,5.90,5.74,6.07,3.02,2.33,3.71,51.15
Decile 10 (least deprived),Male,90+,3.80,3.58,4.01,1.86,1.25,2.46,48.90
,,,,,,,,,
Footnotes,,,,,,,,,
Decile 1 (most deprived)) HLE estimates are based on the five point response general health question in the annual population survey (APS). Those answered as in 'good' or 'very good' health were classified as being in health.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
© Crown Copyright 2022,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
