"Table 3: Healthy Life Expectancy (HLE1) estimates by health board in Scotland, 2019-2021",,,,,,,,,,
,,,,,,,,,,
NHS Board,Area code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%)
Greater Glasgow and Clyde,S08000031,Male,65 to 69,16.37,16.24,16.50,8.24,7.57,8.92,50.35
Greater Glasgow and Clyde,S08000031,Male,70 to 74,13.01,12.89,13.13,6.05,5.38,6.72,46.50
Greater Glasgow and Clyde,S08000031,Male,75 to 79,9.98,9.86,10.09,4.21,3.53,4.89,42.21
Greater Glasgow and Clyde,S08000031,Male,80 to 84,7.51,7.39,7.63,2.81,2.17,3.44,37.37
Greater Glasgow and Clyde,S08000031,Male,85 to 89,5.52,5.39,5.65,1.76,1.24,2.28,31.82
Greater Glasgow and Clyde,S08000031,Male,90+,4.22,4.03,4.41,1.06,0.56,1.56,25.14
Highland,S08000022,Female,<1,81.99,81.61,82.36,65.61,62.89,68.34,80.03
Highland,S08000022,Female,1 to 4,81.19,80.84,81.54,64.83,62.10,67.56,79.85
Highland,S08000022,Female,5 to 9,77.26,76.93,77.60,61.12,58.42,63.82,79.11
Highland,S08000022,Female,10 to 14,72.28,71.94,72.62,56.49,53.84,59.13,78.15
Highland,S08000022,Female,15 to 19,67.31,66.97,67.64,51.93,49.36,54.51,77.16
Highland,S08000022,Female,20 to 24,62.44,62.12,62.77,47.55,45.05,50.04,76.14
Highland,S08000022,Female,25 to 29,57.61,57.30,57.93,43.26,40.87,45.65,75.10
Highland,S08000022,Female,30 to 34,52.75,52.45,53.06,39.04,36.91,41.18,74.01
Highland,S08000022,Female,35 to 39,47.96,47.67,48.25,34.96,33.17,36.74,72.89
Highland,S08000022,Female,40 to 44,43.14,42.86,43.43,30.95,29.24,32.65,71.73
Highland,S08000022,Female,45 to 49,38.46,38.19,38.73,27.12,25.63,28.62,70.52
Highland,S08000022,Female,50 to 54,33.85,33.60,34.11,23.45,22.03,24.86,69.27
Highland,S08000022,Female,55 to 59,29.34,29.09,29.58,19.94,18.58,21.29,67.95
Highland,S08000022,Female,60 to 64,24.89,24.65,25.12,16.57,15.30,17.84,66.59
Highland,S08000022,Female,65 to 69,20.68,20.46,20.91,13.47,12.26,14.67,65.10
Highland,S08000022,Female,70 to 74,16.65,16.44,16.86,10.57,9.40,11.75,63.52
Highland,S08000022,Female,75 to 79,12.81,12.61,13.01,7.92,6.74,9.10,61.80
Highland,S08000022,Female,80 to 84,9.50,9.31,9.69,5.70,4.62,6.77,59.95
Highland,S08000022,Female,85 to 89,6.62,6.43,6.81,3.84,2.94,4.74,57.99
Highland,S08000022,Female,90+,4.41,4.18,4.64,2.46,1.62,3.30,55.82
Highland,S08000022,Male,<1,77.66,77.25,78.07,63.18,60.76,65.60,81.35
Highland,S08000022,Male,1 to 4,76.92,76.53,77.31,62.42,60.00,64.85,81.16
Highland,S08000022,Male,5 to 9,72.95,72.57,73.34,58.61,56.20,61.01,80.34
Highland,S08000022,Male,10 to 14,67.95,67.57,68.34,53.87,51.51,56.22,79.27
Highland,S08000022,Male,15 to 19,62.99,62.60,63.37,49.25,46.97,51.53,78.19
Highland,S08000022,Male,20 to 24,58.23,57.86,58.61,44.88,42.68,47.08,77.07
Highland,S08000022,Male,25 to 29,53.40,53.03,53.76,40.52,38.44,42.60,75.88
Highland,S08000022,Male,30 to 34,48.74,48.39,49.09,36.38,34.40,38.36,74.65
Highland,S08000022,Male,35 to 39,44.23,43.91,44.56,32.48,30.64,34.32,73.43
Highland,S08000022,Male,40 to 44,39.72,39.41,40.03,28.68,26.93,30.43,72.20
Highland,S08000022,Male,45 to 49,35.23,34.95,35.52,25.03,23.49,26.57,71.04
Highland,S08000022,Male,50 to 54,30.87,30.60,31.14,21.59,20.19,22.99,69.93
Highland,S08000022,Male,55 to 59,26.60,26.35,26.85,18.26,17.05,19.47,68.66
Highland,S08000022,Male,60 to 64,22.36,22.12,22.60,15.08,13.93,16.23,67.43
Highland,S08000022,Male,65 to 69,18.40,18.17,18.63,12.12,11.04,13.20,65.91
Highland,S08000022,Male,70 to 74,14.73,14.51,14.94,9.51,8.45,10.57,64.55
Highland,S08000022,Male,75 to 79,11.43,11.21,11.64,7.21,6.12,8.30,63.08
Highland,S08000022,Male,80 to 84,8.46,8.25,8.67,5.21,4.22,6.21,61.64
Highland,S08000022,Male,85 to 89,6.06,5.83,6.30,3.58,2.73,4.42,58.99
Highland,S08000022,Male,90+,4.50,4.16,4.84,2.41,1.53,3.29,53.57
Lanarkshire,S08000032,Female,<1,79.59,79.34,79.84,59.72,57.90,61.54,75.03
Lanarkshire,S08000032,Female,1 to 4,78.85,78.61,79.08,58.99,57.17,60.81,74.81
Lanarkshire,S08000032,Female,5 to 9,74.88,74.65,75.11,55.33,53.54,57.11,73.89
Lanarkshire,S08000032,Female,10 to 14,69.88,69.65,70.11,50.77,49.06,52.49,72.65
Lanarkshire,S08000032,Female,15 to 19,64.92,64.70,65.15,46.31,44.68,47.94,71.33
Lanarkshire,S08000032,Female,20 to 24,59.97,59.75,60.20,41.92,40.38,43.46,69.90
Lanarkshire,S08000032,Female,25 to 29,55.10,54.88,55.32,37.66,36.19,39.14,68.35
Lanarkshire,S08000032,Female,30 to 34,50.25,50.04,50.47,33.52,32.11,34.94,66.71
Lanarkshire,S08000032,Female,35 to 39,45.45,45.25,45.66,29.53,28.17,30.90,64.98
Lanarkshire,S08000032,Female,40 to 44,40.72,40.52,40.93,25.71,24.41,27.02,63.14
Lanarkshire,S08000032,Female,45 to 49,36.17,35.98,36.36,22.14,20.89,23.39,61.21
Lanarkshire,S08000032,Female,50 to 54,31.58,31.40,31.77,18.69,17.51,19.87,59.18
Lanarkshire,S08000032,Female,55 to 59,27.13,26.95,27.30,15.46,14.33,16.58,56.98
Lanarkshire,S08000032,Female,60 to 64,22.78,22.61,22.95,12.42,11.35,13.49,54.53
Lanarkshire,S08000032,Female,65 to 69,18.70,18.54,18.86,9.72,8.70,10.74,51.98
Lanarkshire,S08000032,Female,70 to 74,14.95,14.80,15.10,7.36,6.37,8.34,49.22
Lanarkshire,S08000032,Female,75 to 79,11.47,11.33,11.61,5.28,4.30,6.27,46.06
Lanarkshire,S08000032,Female,80 to 84,8.47,8.34,8.60,3.58,2.63,4.53,42.27
Lanarkshire,S08000032,Female,85 to 89,5.96,5.83,6.10,2.25,1.47,3.03,37.69
Lanarkshire,S08000032,Female,90+,4.20,4.02,4.37,1.32,0.61,2.04,31.50
Lanarkshire,S08000032,Male,<1,75.02,74.74,75.30,57.34,55.73,58.96,76.44
Lanarkshire,S08000032,Male,1 to 4,74.30,74.04,74.57,56.58,54.96,58.20,76.15
Lanarkshire,S08000032,Male,5 to 9,70.34,70.08,70.60,52.72,51.11,54.33,74.96
Lanarkshire,S08000032,Male,10 to 14,65.34,65.08,65.60,47.94,46.36,49.53,73.38
Lanarkshire,S08000032,Male,15 to 19,60.40,60.14,60.66,43.31,41.77,44.85,71.70
Lanarkshire,S08000032,Male,20 to 24,55.58,55.33,55.84,38.87,37.38,40.36,69.93
Lanarkshire,S08000032,Male,25 to 29,50.88,50.63,51.12,34.62,33.18,36.07,68.05
Lanarkshire,S08000032,Male,30 to 34,46.18,45.95,46.42,30.51,29.13,31.90,66.07
Lanarkshire,S08000032,Male,35 to 39,41.64,41.42,41.87,26.64,25.33,27.95,63.98
Lanarkshire,S08000032,Male,40 to 44,37.13,36.92,37.35,22.94,21.70,24.18,61.78
Lanarkshire,S08000032,Male,45 to 49,32.76,32.55,32.96,19.48,18.29,20.67,59.47
Lanarkshire,S08000032,Male,50 to 54,28.44,28.25,28.63,16.23,15.12,17.34,57.05
Lanarkshire,S08000032,Male,55 to 59,24.31,24.13,24.48,13.24,12.19,14.29,54.47
Lanarkshire,S08000032,Male,60 to 64,20.26,20.09,20.43,10.47,9.48,11.47,51.69
Lanarkshire,S08000032,Male,65 to 69,16.48,16.32,16.64,8.01,7.08,8.94,48.60
Lanarkshire,S08000032,Male,70 to 74,13.04,12.89,13.19,5.90,5.02,6.78,45.28
Lanarkshire,S08000032,Male,75 to 79,9.93,9.78,10.07,4.13,3.25,5.02,41.63
Lanarkshire,S08000032,Male,80 to 84,7.35,7.21,7.49,2.76,1.87,3.65,37.52
Lanarkshire,S08000032,Male,85 to 89,5.28,5.13,5.44,1.73,1.01,2.45,32.76
Lanarkshire,S08000032,Male,90+,3.72,3.49,3.94,0.99,0.36,1.61,26.49
Lothian,S08000024,Female,<1,81.93,81.72,82.15,64.72,63.16,66.28,78.99
Lothian,S08000024,Female,1 to 4,81.17,80.97,81.38,64.03,62.47,65.59,78.88
Lothian,S08000024,Female,5 to 9,77.20,77.00,77.40,60.54,59.02,62.05,78.42
Lothian,S08000024,Female,10 to 14,72.21,72.01,72.41,56.12,54.68,57.55,77.72
Lothian,S08000024,Female,15 to 19,67.24,67.04,67.44,51.71,50.35,53.07,76.90
Lothian,S08000024,Female,20 to 24,62.32,62.12,62.51,47.39,46.13,48.66,76.05
Lothian,S08000024,Female,25 to 29,57.40,57.20,57.59,43.10,41.88,44.32,75.09
Lothian,S08000024,Female,30 to 34,52.48,52.28,52.67,38.83,37.66,40.00,74.00
Lothian,S08000024,Female,35 to 39,47.59,47.40,47.78,34.62,33.49,35.75,72.73
Lothian,S08000024,Female,40 to 44,42.77,42.59,42.96,30.53,29.43,31.62,71.37
Lothian,S08000024,Female,45 to 49,38.01,37.83,38.19,26.57,25.52,27.62,69.90
Lothian,S08000024,Female,50 to 54,33.39,33.22,33.57,22.77,21.77,23.77,68.19
Lothian,S08000024,Female,55 to 59,28.84,28.67,29.01,19.13,18.16,20.09,66.33
Lothian,S08000024,Female,60 to 64,24.46,24.30,24.62,15.74,14.81,16.67,64.35
Lothian,S08000024,Female,65 to 69,20.23,20.07,20.38,12.48,11.58,13.39,61.73
Lothian,S08000024,Female,70 to 74,16.22,16.08,16.37,9.49,8.60,10.38,58.48
Lothian,S08000024,Female,75 to 79,12.55,12.41,12.69,6.85,6.01,7.70,54.61
Lothian,S08000024,Female,80 to 84,9.35,9.22,9.48,4.71,3.94,5.48,50.34
Lothian,S08000024,Female,85 to 89,6.64,6.51,6.77,3.10,2.45,3.76,46.74
Lothian,S08000024,Female,90+,4.47,4.31,4.63,1.98,1.38,2.59,44.33
Lothian,S08000024,Male,<1,77.99,77.76,78.22,62.03,60.49,63.56,79.53
Lothian,S08000024,Male,1 to 4,77.24,77.02,77.46,61.37,59.83,62.90,79.45
Lothian,S08000024,Male,5 to 9,73.30,73.09,73.52,57.97,56.48,59.46,79.08
Lothian,S08000024,Male,10 to 14,68.34,68.12,68.55,53.65,52.24,55.06,78.50
Lothian,S08000024,Male,15 to 19,63.36,63.15,63.58,49.29,47.96,50.63,77.80
Lothian,S08000024,Male,20 to 24,58.48,58.27,58.69,45.01,43.75,46.26,76.96
Lothian,S08000024,Male,25 to 29,53.67,53.46,53.88,40.78,39.59,41.97,75.99
Lothian,S08000024,Male,30 to 34,48.81,48.61,49.01,36.54,35.39,37.69,74.86
Lothian,S08000024,Male,35 to 39,44.02,43.82,44.22,32.39,31.29,33.49,73.58
Lothian,S08000024,Male,40 to 44,39.35,39.15,39.55,28.40,27.34,29.47,72.18
Lothian,S08000024,Male,45 to 49,34.78,34.59,34.97,24.56,23.55,25.58,70.62
Lothian,S08000024,Male,50 to 54,30.36,30.18,30.54,20.90,19.93,21.87,68.85
Lothian,S08000024,Male,55 to 59,26.01,25.84,26.19,17.39,16.45,18.32,66.85
Lothian,S08000024,Male,60 to 64,21.83,21.67,22.00,14.13,13.23,15.02,64.71
Lothian,S08000024,Male,65 to 69,17.92,17.76,18.08,11.19,10.35,12.04,62.47
Lothian,S08000024,Male,70 to 74,14.25,14.10,14.40,8.54,7.71,9.36,59.91
Lothian,S08000024,Male,75 to 79,10.90,10.75,11.04,6.20,5.38,7.02,56.88
Lothian,S08000024,Male,80 to 84,8.17,8.03,8.31,4.36,3.58,5.14,53.35
Lothian,S08000024,Male,85 to 89,5.94,5.78,6.09,2.96,2.30,3.63,49.89
Lothian,S08000024,Male,90+,4.31,4.09,4.52,2.04,1.38,2.70,47.30
Orkney,S08000025,Female,<1,83.90,82.75,85.05,76.36,70.14,82.57,91.01
Orkney,S08000025,Female,1 to 4,82.90,81.75,84.05,75.36,69.14,81.57,90.90
Orkney,S08000025,Female,5 to 9,78.90,77.75,80.05,71.36,65.14,77.57,90.44
Orkney,S08000025,Female,10 to 14,73.90,72.75,75.05,66.37,60.16,72.58,89.81
Orkney,S08000025,Female,15 to 19,68.90,67.75,70.05,61.47,55.30,67.64,89.21
Orkney,S08000025,Female,20 to 24,63.90,62.75,65.05,56.65,50.54,62.75,88.65
Orkney,S08000025,Female,25 to 29,59.14,58.09,60.20,52.11,46.11,58.12,88.11
Orkney,S08000025,Female,30 to 34,54.14,53.09,55.20,47.45,41.96,52.93,87.63
Orkney,S08000025,Female,35 to 39,49.14,48.09,50.20,42.85,37.70,48.00,87.18
Orkney,S08000025,Female,40 to 44,44.14,43.09,45.20,38.32,33.37,43.26,86.80
Orkney,S08000025,Female,45 to 49,39.37,38.36,40.38,34.03,29.53,38.54,86.45
Orkney,S08000025,Female,50 to 54,34.69,33.72,35.66,29.89,25.60,34.17,86.16
Orkney,S08000025,Female,55 to 59,30.11,29.17,31.04,25.87,21.61,30.13,85.92
Orkney,S08000025,Female,60 to 64,25.58,24.68,26.48,21.93,17.72,26.13,85.72
Orkney,S08000025,Female,65 to 69,21.06,20.20,21.93,18.04,13.88,22.19,85.63
Orkney,S08000025,Female,70 to 74,16.83,16.01,17.65,14.41,10.41,18.41,85.62
Orkney,S08000025,Female,75 to 79,12.92,12.12,13.71,11.07,6.98,15.16,85.67
Orkney,S08000025,Female,80 to 84,9.38,8.60,10.17,8.05,4.18,11.91,85.73
Orkney,S08000025,Female,85 to 89,6.93,6.10,7.76,5.96,2.59,9.33,85.92
Orkney,S08000025,Female,90+,5.12,4.06,6.18,4.39,0.86,7.91,85.61
Orkney,S08000025,Male,<1,80.44,79.06,81.82,71.74,66.31,77.16,89.18
Orkney,S08000025,Male,1 to 4,79.71,78.44,80.99,71.03,65.59,76.47,89.11
Orkney,S08000025,Male,5 to 9,75.71,74.44,76.99,67.03,61.59,72.47,88.54
Orkney,S08000025,Male,10 to 14,70.71,69.44,71.99,62.03,56.59,67.47,87.72
Orkney,S08000025,Male,15 to 19,65.71,64.44,66.99,57.03,51.59,62.47,86.79
Orkney,S08000025,Male,20 to 24,60.71,59.44,61.99,52.03,46.59,57.47,85.70
Orkney,S08000025,Male,25 to 29,55.88,54.65,57.12,47.26,41.85,52.68,84.58
Orkney,S08000025,Male,30 to 34,51.03,49.83,52.23,42.39,36.96,47.82,83.06
Orkney,S08000025,Male,35 to 39,46.16,44.98,47.34,37.74,32.50,42.97,81.76
Orkney,S08000025,Male,40 to 44,41.53,40.42,42.64,33.09,27.84,38.35,79.69
Orkney,S08000025,Male,45 to 49,36.75,35.68,37.83,28.46,23.34,33.57,77.43
Orkney,S08000025,Male,50 to 54,32.27,31.27,33.28,24.64,19.80,29.48,76.36
Orkney,S08000025,Male,55 to 59,27.85,26.89,28.81,21.18,16.40,25.96,76.04
Orkney,S08000025,Male,60 to 64,23.50,22.57,24.42,17.74,13.05,22.42,75.49
Orkney,S08000025,Male,65 to 69,19.43,18.55,20.31,14.38,9.64,19.12,74.00
Orkney,S08000025,Male,70 to 74,15.63,14.80,16.46,11.52,6.87,16.18,73.72
Orkney,S08000025,Male,75 to 79,12.13,11.33,12.94,8.69,3.86,13.53,71.61
Orkney,S08000025,Male,80 to 84,8.86,8.06,9.66,6.81,2.42,11.19,76.81
Orkney,S08000025,Male,85 to 89,6.36,5.48,7.24,4.62,0.58,8.66,72.66
Orkney,S08000025,Male,90+,4.44,3.26,5.63,3.37,-0.36,7.10,75.79
Shetland,S08000026,Female,<1,83.27,81.85,84.69,71.62,65.54,77.71,86.02
Shetland,S08000026,Female,1 to 4,82.56,81.25,83.87,70.89,64.79,77.00,85.87
Shetland,S08000026,Female,5 to 9,78.56,77.25,79.87,66.96,60.88,73.04,85.24
Shetland,S08000026,Female,10 to 14,73.56,72.25,74.87,62.01,55.97,68.06,84.31
Shetland,S08000026,Female,15 to 19,68.56,67.25,69.87,57.09,51.08,63.10,83.28
Shetland,S08000026,Female,20 to 24,63.56,62.25,64.87,52.12,46.13,58.11,82.01
Shetland,S08000026,Female,25 to 29,58.56,57.25,59.87,47.22,41.22,53.21,80.63
Shetland,S08000026,Female,30 to 34,53.71,52.43,54.99,42.41,36.43,48.39,78.96
Shetland,S08000026,Female,35 to 39,48.96,47.73,50.20,37.83,32.17,43.49,77.26
Shetland,S08000026,Female,40 to 44,44.20,43.00,45.40,33.38,28.01,38.75,75.53
Shetland,S08000026,Female,45 to 49,39.61,38.47,40.75,29.10,23.84,34.35,73.46
Shetland,S08000026,Female,50 to 54,34.93,33.83,36.04,24.92,19.74,30.11,71.35
Shetland,S08000026,Female,55 to 59,30.39,29.32,31.46,21.00,15.88,26.13,69.12
Shetland,S08000026,Female,60 to 64,26.05,25.03,27.08,17.60,12.51,22.70,67.57
Shetland,S08000026,Female,65 to 69,21.91,20.94,22.88,14.50,9.52,19.49,66.19
Shetland,S08000026,Female,70 to 74,17.62,16.68,18.56,11.51,7.14,15.89,65.32
Shetland,S08000026,Female,75 to 79,13.81,12.91,14.72,8.98,4.85,13.11,65.02
Shetland,S08000026,Female,80 to 84,10.29,9.40,11.18,6.49,3.29,9.68,63.00
Shetland,S08000026,Female,85 to 89,7.36,6.45,8.27,4.40,1.60,7.20,59.79
Shetland,S08000026,Female,90+,4.87,3.79,5.95,2.59,-0.09,5.26,53.08
Shetland,S08000026,Male,<1,79.71,78.47,80.94,61.29,51.19,71.39,76.90
Shetland,S08000026,Male,1 to 4,78.71,77.47,79.94,60.35,50.25,70.45,76.68
Shetland,S08000026,Male,5 to 9,74.71,73.47,75.94,56.63,46.57,66.69,75.80
Shetland,S08000026,Male,10 to 14,69.88,68.69,71.07,52.19,42.18,62.20,74.68
Shetland,S08000026,Male,15 to 19,64.88,63.69,66.07,47.68,37.75,57.60,73.49
Shetland,S08000026,Male,20 to 24,59.88,58.69,61.07,43.33,33.51,53.14,72.36
Shetland,S08000026,Male,25 to 29,54.88,53.69,56.07,39.04,29.52,48.55,71.13
Shetland,S08000026,Male,30 to 34,50.01,48.84,51.18,34.94,25.66,44.22,69.87
Shetland,S08000026,Male,35 to 39,45.23,44.10,46.36,31.00,22.48,39.52,68.54
Shetland,S08000026,Male,40 to 44,40.34,39.23,41.45,27.12,19.57,34.67,67.23
Shetland,S08000026,Male,45 to 49,35.70,34.63,36.77,23.50,17.09,29.91,65.82
Shetland,S08000026,Male,50 to 54,31.25,30.23,32.26,20.10,13.89,26.32,64.34
Shetland,S08000026,Male,55 to 59,26.59,25.60,27.58,16.68,10.74,22.63,62.74
Shetland,S08000026,Male,60 to 64,22.48,21.54,23.42,13.68,7.78,19.59,60.87
Shetland,S08000026,Male,65 to 69,18.50,17.60,19.39,10.96,4.97,16.95,59.25
Shetland,S08000026,Male,70 to 74,14.89,14.05,15.74,8.56,2.36,14.76,57.47
Shetland,S08000026,Male,75 to 79,11.38,10.55,12.21,6.23,0.15,12.31,54.76
Shetland,S08000026,Male,80 to 84,8.32,7.50,9.15,4.36,-2.24,10.97,52.44
Shetland,S08000026,Male,85 to 89,5.97,5.06,6.89,3.02,-2.57,8.61,50.54
Shetland,S08000026,Male,90+,4.23,2.92,5.53,2.09,-3.31,7.49,49.55
Tayside,S08000030,Female,<1,81.22,80.89,81.54,60.66,59.10,62.22,74.69
Tayside,S08000030,Female,1 to 4,80.44,80.14,80.75,59.98,58.41,61.54,74.56
Tayside,S08000030,Female,5 to 9,76.48,76.18,76.79,56.60,55.07,58.13,74.00
Tayside,S08000030,Female,10 to 14,71.54,71.25,71.84,52.35,50.87,53.83,73.17
Tayside,S08000030,Female,15 to 19,66.55,66.26,66.85,48.06,46.63,49.49,72.21
Tayside,S08000030,Female,20 to 24,61.57,61.28,61.87,43.87,42.50,45.24,71.25
Tayside,S08000030,Female,25 to 29,56.66,56.37,56.95,39.79,38.46,41.12,70.22
Tayside,S08000030,Female,30 to 34,51.82,51.53,52.10,35.82,34.56,37.09,69.13
Tayside,S08000030,Female,35 to 39,47.01,46.74,47.29,31.93,30.73,33.12,67.91
Tayside,S08000030,Female,40 to 44,42.34,42.07,42.60,28.21,27.08,29.33,66.62
Tayside,S08000030,Female,45 to 49,37.75,37.50,38.00,24.57,23.49,25.64,65.07
Tayside,S08000030,Female,50 to 54,33.24,33.01,33.48,21.08,20.06,22.09,63.40
Tayside,S08000030,Female,55 to 59,28.82,28.60,29.05,17.75,16.79,18.72,61.59
Tayside,S08000030,Female,60 to 64,24.50,24.29,24.72,14.54,13.61,15.46,59.33
Tayside,S08000030,Female,65 to 69,20.35,20.15,20.55,11.38,10.50,12.26,55.94
Tayside,S08000030,Female,70 to 74,16.37,16.18,16.56,8.40,7.54,9.26,51.32
Tayside,S08000030,Female,75 to 79,12.67,12.49,12.85,5.86,5.00,6.72,46.26
Tayside,S08000030,Female,80 to 84,9.42,9.26,9.59,3.86,3.08,4.65,40.98
Tayside,S08000030,Female,85 to 89,6.73,6.57,6.90,2.47,1.82,3.13,36.74
Tayside,S08000030,Female,90+,4.60,4.39,4.80,1.58,0.96,2.19,34.28
Tayside,S08000030,Male,<1,76.92,76.55,77.28,61.83,60.46,63.19,80.38
Tayside,S08000030,Male,1 to 4,76.35,76.02,76.69,61.25,59.88,62.63,80.22
Tayside,S08000030,Male,5 to 9,72.39,72.06,72.72,57.58,56.22,58.93,79.53
Tayside,S08000030,Male,10 to 14,67.44,67.11,67.77,53.01,51.69,54.34,78.60
Tayside,S08000030,Male,15 to 19,62.44,62.11,62.77,48.41,47.12,49.71,77.53
Tayside,S08000030,Male,20 to 24,57.57,57.24,57.89,43.95,42.68,45.21,76.34
Tayside,S08000030,Male,25 to 29,52.78,52.46,53.09,39.61,38.38,40.84,75.05
Tayside,S08000030,Male,30 to 34,48.03,47.72,48.33,35.38,34.22,36.54,73.67
Tayside,S08000030,Male,35 to 39,43.37,43.07,43.66,31.29,30.19,32.39,72.14
Tayside,S08000030,Male,40 to 44,38.92,38.64,39.20,27.44,26.39,28.48,70.50
Tayside,S08000030,Male,45 to 49,34.53,34.27,34.79,23.75,22.79,24.71,68.78
Tayside,S08000030,Male,50 to 54,30.21,29.97,30.46,20.13,19.21,21.04,66.62
Tayside,S08000030,Male,55 to 59,26.06,25.83,26.29,16.75,15.88,17.62,64.28
Tayside,S08000030,Male,60 to 64,21.88,21.66,22.10,13.59,12.77,14.41,62.12
Tayside,S08000030,Male,65 to 69,17.95,17.74,18.15,10.74,9.96,11.51,59.82
Tayside,S08000030,Male,70 to 74,14.32,14.13,14.51,8.10,7.36,8.83,56.55
Tayside,S08000030,Male,75 to 79,11.01,10.82,11.19,5.80,5.05,6.55,52.71
Tayside,S08000030,Male,80 to 84,8.21,8.03,8.38,4.00,3.31,4.70,48.79
Tayside,S08000030,Male,85 to 89,5.91,5.72,6.10,2.64,2.05,3.22,44.64
Tayside,S08000030,Male,90+,4.16,3.90,4.42,1.88,1.32,2.44,45.26
Western Isles,S08000028,Female,<1,82.75,81.51,83.99,64.03,59.83,68.23,77.39
Western Isles,S08000028,Female,1 to 4,82.30,81.31,83.28,63.48,59.25,67.71,77.13
Western Isles,S08000028,Female,5 to 9,78.30,77.31,79.28,59.54,55.33,63.75,76.04
Western Isles,S08000028,Female,10 to 14,73.30,72.31,74.28,54.76,50.62,58.91,74.71
Western Isles,S08000028,Female,15 to 19,68.30,67.31,69.28,49.88,45.78,53.99,73.04
Western Isles,S08000028,Female,20 to 24,63.30,62.31,64.28,45.26,41.28,49.25,71.50
Western Isles,S08000028,Female,25 to 29,58.30,57.31,59.28,40.75,36.99,44.51,69.91
Western Isles,S08000028,Female,30 to 34,53.30,52.31,54.28,36.22,32.68,39.76,67.95
Western Isles,S08000028,Female,35 to 39,48.43,47.48,49.38,31.92,28.89,34.94,65.90
Western Isles,S08000028,Female,40 to 44,43.87,43.01,44.73,27.93,25.15,30.70,63.66
Western Isles,S08000028,Female,45 to 49,38.87,38.01,39.73,23.65,21.03,26.27,60.84
Western Isles,S08000028,Female,50 to 54,34.14,33.32,34.97,19.55,17.17,21.94,57.27
Western Isles,S08000028,Female,55 to 59,29.64,28.87,30.42,15.93,13.63,18.22,53.72
Western Isles,S08000028,Female,60 to 64,25.03,24.28,25.77,12.26,10.07,14.46,49.01
Western Isles,S08000028,Female,65 to 69,20.66,19.96,21.35,8.86,6.80,10.92,42.89
Western Isles,S08000028,Female,70 to 74,16.50,15.85,17.15,5.98,4.03,7.93,36.25
Western Isles,S08000028,Female,75 to 79,12.70,12.09,13.30,3.38,1.50,5.27,26.66
Western Isles,S08000028,Female,80 to 84,9.51,8.97,10.06,2.00,0.25,3.74,21.00
Western Isles,S08000028,Female,85 to 89,6.34,5.82,6.86,1.12,-0.18,2.41,17.64
Western Isles,S08000028,Female,90+,4.05,3.43,4.66,0.62,-0.44,1.69,15.43
Western Isles,S08000028,Male,<1,78.01,76.62,79.41,67.45,63.85,71.04,86.46
Western Isles,S08000028,Male,1 to 4,77.30,76.02,78.58,66.70,63.09,70.31,86.28
Western Isles,S08000028,Male,5 to 9,73.30,72.02,74.58,62.70,59.09,66.31,85.53
Western Isles,S08000028,Male,10 to 14,68.30,67.02,69.58,57.70,54.09,61.31,84.47
Western Isles,S08000028,Male,15 to 19,63.30,62.02,64.58,52.79,49.21,56.38,83.40
Western Isles,S08000028,Male,20 to 24,58.30,57.02,59.58,48.05,44.53,51.57,82.42
Western Isles,S08000028,Male,25 to 29,53.46,52.21,54.71,43.57,40.18,46.95,81.49
Western Isles,S08000028,Male,30 to 34,48.91,47.75,50.06,39.43,36.30,42.57,80.63
Western Isles,S08000028,Male,35 to 39,44.14,43.03,45.25,35.25,32.29,38.22,79.86
Western Isles,S08000028,Male,40 to 44,39.46,38.41,40.52,31.25,28.57,33.93,79.19
Western Isles,S08000028,Male,45 to 49,34.81,33.79,35.82,27.36,24.89,29.82,78.59
Western Isles,S08000028,Male,50 to 54,30.35,29.38,31.31,23.70,21.53,25.87,78.09
Western Isles,S08000028,Male,55 to 59,26.15,25.24,27.07,20.30,18.18,22.41,77.61
Western Isles,S08000028,Male,60 to 64,22.00,21.12,22.89,17.01,14.91,19.11,77.30
Western Isles,S08000028,Male,65 to 69,17.96,17.10,18.82,13.82,11.82,15.83,76.97
Western Isles,S08000028,Male,70 to 74,14.37,13.53,15.21,11.04,9.04,13.04,76.82
Western Isles,S08000028,Male,75 to 79,11.64,10.77,12.51,8.96,6.72,11.21,77.02
Western Isles,S08000028,Male,80 to 84,9.22,8.29,10.16,7.08,4.80,9.36,76.73
Western Isles,S08000028,Male,85 to 89,7.29,6.14,8.43,5.57,3.43,7.72,76.49
Western Isles,S08000028,Male,90+,6.51,4.82,8.20,4.95,2.23,7.67,76.07
,,,,,,,,,,
Footnotes,,,,,,,,,,
1) HLE estimates are based on the five point response general health question in the annual population survey (APS). Those answered as in 'good' or 'very good' health were classified as being in health.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
© Crown Copyright 2022,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
